# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSAP_1p3V_a/0.dat
#       2th_deg             I 
  5.000450e-03    1.203343e+03
  1.500135e-02    1.198181e+03
  2.500225e-02    1.192060e+03
  3.500315e-02    1.187761e+03
  4.500405e-02    1.189573e+03
  5.500495e-02    1.193017e+03
  6.500585e-02    1.194716e+03
  7.500675e-02    1.194293e+03
  8.500765e-02    1.194758e+03
  9.500855e-02    1.193939e+03
  1.050094e-01    1.192398e+03
  1.150103e-01    1.193773e+03
  1.250112e-01    1.195241e+03
  1.350121e-01    1.193846e+03
  1.450130e-01    1.191099e+03
  1.550139e-01    1.190995e+03
  1.650148e-01    1.192040e+03
  1.750157e-01    1.192003e+03
  1.850166e-01    1.193088e+03
  1.950175e-01    1.194038e+03
  2.050184e-01    1.193297e+03
  2.150193e-01    1.192013e+03
  2.250202e-01    1.191777e+03
  2.350211e-01    1.192026e+03
  2.450220e-01    1.192488e+03
  2.550229e-01    1.191044e+03
  2.650238e-01    1.190556e+03
  2.750247e-01    1.192781e+03
  2.850256e-01    1.194497e+03
  2.950265e-01    1.194373e+03
  3.050274e-01    1.193679e+03
  3.150283e-01    1.192883e+03
  3.250292e-01    1.193090e+03
  3.350301e-01    1.193476e+03
  3.450310e-01    1.193963e+03
  3.550319e-01    1.193861e+03
  3.650328e-01    1.193573e+03
  3.750337e-01    1.194002e+03
  3.850346e-01    1.195366e+03
  3.950355e-01    1.196298e+03
  4.050364e-01    1.196371e+03
  4.150373e-01    1.197618e+03
  4.250382e-01    1.198486e+03
  4.350391e-01    1.198441e+03
