# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSAP_1p3V_b/12.dat
#       2th_deg             I 
  5.000450e-03    1.066027e+03
  1.500135e-02    1.065643e+03
  2.500225e-02    1.063948e+03
  3.500315e-02    1.064689e+03
  4.500405e-02    1.068991e+03
  5.500495e-02    1.071792e+03
  6.500585e-02    1.072226e+03
  7.500675e-02    1.072922e+03
  8.500765e-02    1.073806e+03
  9.500855e-02    1.073475e+03
  1.050094e-01    1.074063e+03
  1.150103e-01    1.074540e+03
  1.250112e-01    1.074121e+03
  1.350121e-01    1.072105e+03
  1.450130e-01    1.070608e+03
  1.550139e-01    1.070708e+03
  1.650148e-01    1.072180e+03
  1.750157e-01    1.073452e+03
  1.850166e-01    1.074340e+03
  1.950175e-01    1.073621e+03
  2.050184e-01    1.073105e+03
  2.150193e-01    1.073366e+03
  2.250202e-01    1.072966e+03
  2.350211e-01    1.072458e+03
  2.450220e-01    1.072073e+03
  2.550229e-01    1.072276e+03
  2.650238e-01    1.071245e+03
  2.750247e-01    1.071137e+03
  2.850256e-01    1.071484e+03
  2.950265e-01    1.071690e+03
  3.050274e-01    1.071815e+03
  3.150283e-01    1.071624e+03
  3.250292e-01    1.072265e+03
  3.350301e-01    1.072787e+03
  3.450310e-01    1.072698e+03
  3.550319e-01    1.073392e+03
  3.650328e-01    1.073407e+03
  3.750337e-01    1.072434e+03
  3.850346e-01    1.072196e+03
  3.950355e-01    1.072983e+03
  4.050364e-01    1.073190e+03
  4.150373e-01    1.072914e+03
  4.250382e-01    1.072139e+03
  4.350391e-01    1.071861e+03
  4.450400e-01    1.072339e+03
  4.550409e-01    1.072497e+03
  4.650418e-01    1.072365e+03
  4.750427e-01    1.073202e+03
  4.850436e-01    1.073828e+03
  4.950445e-01    1.074747e+03
  5.050454e-01    1.075366e+03
  5.150463e-01    1.075749e+03
  5.250472e-01    1.076127e+03
  5.350481e-01    1.076603e+03
  5.450490e-01    1.076617e+03
  5.550499e-01    1.075808e+03
  5.650508e-01    1.075339e+03
  5.750517e-01    1.075853e+03
  5.850526e-01    1.077325e+03
  5.950535e-01    1.078266e+03
  6.050544e-01    1.078512e+03
  6.150553e-01    1.078690e+03
  6.250562e-01    1.078535e+03
  6.350571e-01    1.078642e+03
  6.450580e-01    1.078720e+03
  6.550589e-01    1.078901e+03
