# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSAP_1p3V_c/15.dat
#       2th_deg             I 
  5.000450e-03    1.211698e+03
  1.500135e-02    1.214765e+03
  2.500225e-02    1.216607e+03
  3.500315e-02    1.216572e+03
  4.500405e-02    1.216660e+03
  5.500495e-02    1.212938e+03
  6.500585e-02    1.211492e+03
  7.500675e-02    1.213272e+03
  8.500765e-02    1.210896e+03
  9.500855e-02    1.210272e+03
  1.050094e-01    1.214601e+03
  1.150103e-01    1.216112e+03
  1.250112e-01    1.214126e+03
  1.350121e-01    1.214166e+03
  1.450130e-01    1.215120e+03
  1.550139e-01    1.216671e+03
  1.650148e-01    1.217889e+03
  1.750157e-01    1.218420e+03
  1.850166e-01    1.220044e+03
  1.950175e-01    1.220129e+03
  2.050184e-01    1.219494e+03
  2.150193e-01    1.220235e+03
  2.250202e-01    1.219320e+03
  2.350211e-01    1.217499e+03
  2.450220e-01    1.218355e+03
  2.550229e-01    1.220534e+03
  2.650238e-01    1.222491e+03
  2.750247e-01    1.223640e+03
  2.850256e-01    1.225205e+03
  2.950265e-01    1.226458e+03
  3.050274e-01    1.227877e+03
  3.150283e-01    1.229220e+03
  3.250292e-01    1.231178e+03
  3.350301e-01    1.233210e+03
  3.450310e-01    1.234640e+03
  3.550319e-01    1.235775e+03
  3.650328e-01    1.237562e+03
  3.750337e-01    1.240683e+03
  3.850346e-01    1.243110e+03
  3.950355e-01    1.244920e+03
  4.050364e-01    1.249050e+03
  4.150373e-01    1.253449e+03
  4.250382e-01    1.256954e+03
  4.350391e-01    1.260771e+03
  4.450400e-01    1.265960e+03
  4.550409e-01    1.271700e+03
  4.650418e-01    1.275824e+03
  4.750427e-01    1.281748e+03
  4.850436e-01    1.287923e+03
  4.950445e-01    1.295117e+03
  5.050454e-01    1.291011e+03
  5.150463e-01    1.276781e+03
  5.250472e-01    1.269578e+03
  5.350481e-01    1.264562e+03
  5.450490e-01    1.262484e+03
  5.550499e-01    1.260663e+03
  5.650508e-01    1.258854e+03
  5.750517e-01    1.257522e+03
  5.850526e-01    1.255402e+03
  5.950535e-01    1.252729e+03
  6.050544e-01    1.250926e+03
  6.150553e-01    1.250969e+03
  6.250562e-01    1.250452e+03
  6.350571e-01    1.248903e+03
  6.450580e-01    1.247750e+03
  6.550589e-01    1.247126e+03
  6.650598e-01    1.247220e+03
  6.750607e-01    1.246750e+03
  6.850616e-01    1.246301e+03
  6.950625e-01    1.247745e+03
  7.050634e-01    1.252495e+03
  7.150643e-01    1.255767e+03
  7.250652e-01    1.258128e+03
  7.350661e-01    1.259368e+03
  7.450670e-01    1.262001e+03
  7.550679e-01    1.264354e+03
  7.650688e-01    1.267380e+03
  7.750697e-01    1.271540e+03
  7.850706e-01    1.274952e+03
  7.950715e-01    1.279704e+03
  8.050724e-01    1.284121e+03
  8.150733e-01    1.286467e+03
  8.250742e-01    1.289988e+03
  8.350751e-01    1.295341e+03
  8.450760e-01    1.301602e+03
  8.550769e-01    1.308484e+03
  8.650778e-01    1.320342e+03
  8.750787e-01    1.337920e+03
  8.850796e-01    1.362026e+03
  8.950805e-01    1.391718e+03
  9.050814e-01    1.427656e+03
  9.150823e-01    1.474164e+03
  9.250832e-01    1.529781e+03
  9.350841e-01    1.599097e+03
  9.450850e-01    1.690395e+03
  9.550859e-01    1.834039e+03
  9.650868e-01    2.074212e+03
  9.750877e-01    2.472488e+03
  9.850886e-01    3.121199e+03
  9.950895e-01    4.077130e+03
  1.005090e+00    5.272953e+03
  1.015091e+00    6.460522e+03
  1.025092e+00    7.535387e+03
  1.035093e+00    8.409452e+03
  1.045094e+00    9.097411e+03
  1.055095e+00    9.654698e+03
  1.065096e+00    1.014801e+04
  1.075097e+00    1.062594e+04
  1.085098e+00    1.107039e+04
  1.095099e+00    1.145103e+04
  1.105099e+00    1.178606e+04
  1.115100e+00    1.209442e+04
  1.125101e+00    1.237466e+04
  1.135102e+00    1.260404e+04
  1.145103e+00    1.276731e+04
  1.155104e+00    1.288810e+04
  1.165105e+00    1.300611e+04
  1.175106e+00    1.312244e+04
  1.185107e+00    1.322742e+04
  1.195108e+00    1.331610e+04
  1.205108e+00    1.338141e+04
  1.215109e+00    1.345438e+04
