# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSAP_1p3V_d/29.dat
#       2th_deg             I 
  5.000450e-03    1.068104e+03
  1.500135e-02    1.067345e+03
  2.500225e-02    1.068777e+03
  3.500315e-02    1.073345e+03
  4.500405e-02    1.076882e+03
  5.500495e-02    1.076320e+03
  6.500585e-02    1.075227e+03
  7.500675e-02    1.076933e+03
  8.500765e-02    1.077645e+03
  9.500855e-02    1.075395e+03
  1.050094e-01    1.073364e+03
  1.150103e-01    1.073092e+03
  1.250112e-01    1.073170e+03
  1.350121e-01    1.072134e+03
  1.450130e-01    1.072606e+03
  1.550139e-01    1.074451e+03
  1.650148e-01    1.075294e+03
  1.750157e-01    1.074768e+03
  1.850166e-01    1.075294e+03
  1.950175e-01    1.075582e+03
  2.050184e-01    1.074555e+03
  2.150193e-01    1.073890e+03
  2.250202e-01    1.073558e+03
  2.350211e-01    1.073555e+03
  2.450220e-01    1.074609e+03
  2.550229e-01    1.075007e+03
  2.650238e-01    1.075211e+03
  2.750247e-01    1.074955e+03
  2.850256e-01    1.073978e+03
  2.950265e-01    1.073530e+03
  3.050274e-01    1.074546e+03
  3.150283e-01    1.075174e+03
  3.250292e-01    1.075295e+03
  3.350301e-01    1.075837e+03
  3.450310e-01    1.075033e+03
  3.550319e-01    1.074455e+03
  3.650328e-01    1.075108e+03
  3.750337e-01    1.075262e+03
  3.850346e-01    1.075170e+03
  3.950355e-01    1.074977e+03
  4.050364e-01    1.075067e+03
  4.150373e-01    1.075321e+03
  4.250382e-01    1.075104e+03
  4.350391e-01    1.075279e+03
  4.450400e-01    1.076394e+03
  4.550409e-01    1.076621e+03
  4.650418e-01    1.076150e+03
  4.750427e-01    1.075834e+03
  4.850436e-01    1.075378e+03
  4.950445e-01    1.075611e+03
  5.050454e-01    1.076142e+03
  5.150463e-01    1.076221e+03
  5.250472e-01    1.076676e+03
  5.350481e-01    1.077329e+03
  5.450490e-01    1.077860e+03
  5.550499e-01    1.078527e+03
  5.650508e-01    1.079210e+03
  5.750517e-01    1.078991e+03
  5.850526e-01    1.078323e+03
  5.950535e-01    1.078049e+03
  6.050544e-01    1.077988e+03
  6.150553e-01    1.078341e+03
  6.250562e-01    1.078721e+03
  6.350571e-01    1.079465e+03
  6.450580e-01    1.080144e+03
  6.550589e-01    1.080363e+03
  6.650598e-01    1.079929e+03
  6.750607e-01    1.079551e+03
  6.850616e-01    1.079683e+03
  6.950625e-01    1.080148e+03
  7.050634e-01    1.081252e+03
  7.150643e-01    1.081894e+03
  7.250652e-01    1.083646e+03
  7.350661e-01    1.084318e+03
  7.450670e-01    1.084671e+03
  7.550679e-01    1.085739e+03
  7.650688e-01    1.087288e+03
  7.750697e-01    1.088510e+03
  7.850706e-01    1.089068e+03
  7.950715e-01    1.088625e+03
  8.050724e-01    1.088721e+03
