# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSAP_1p3V_e/8.dat
#       2th_deg             I 
  5.000450e-03    1.067984e+03
  1.500135e-02    1.065494e+03
  2.500225e-02    1.063472e+03
  3.500315e-02    1.064115e+03
  4.500405e-02    1.068555e+03
  5.500495e-02    1.070839e+03
  6.500585e-02    1.069328e+03
  7.500675e-02    1.069349e+03
  8.500765e-02    1.069941e+03
  9.500855e-02    1.069811e+03
  1.050094e-01    1.070751e+03
  1.150103e-01    1.072702e+03
  1.250112e-01    1.073419e+03
  1.350121e-01    1.072472e+03
  1.450130e-01    1.072476e+03
  1.550139e-01    1.072632e+03
  1.650148e-01    1.071443e+03
  1.750157e-01    1.071004e+03
  1.850166e-01    1.071565e+03
  1.950175e-01    1.072472e+03
  2.050184e-01    1.072993e+03
  2.150193e-01    1.072423e+03
  2.250202e-01    1.071951e+03
  2.350211e-01    1.072349e+03
  2.450220e-01    1.072137e+03
  2.550229e-01    1.072682e+03
  2.650238e-01    1.073113e+03
  2.750247e-01    1.073388e+03
  2.850256e-01    1.073706e+03
  2.950265e-01    1.073642e+03
  3.050274e-01    1.072526e+03
  3.150283e-01    1.071734e+03
  3.250292e-01    1.071733e+03
  3.350301e-01    1.071575e+03
  3.450310e-01    1.071150e+03
  3.550319e-01    1.071007e+03
  3.650328e-01    1.071401e+03
  3.750337e-01    1.071500e+03
  3.850346e-01    1.071908e+03
  3.950355e-01    1.072543e+03
  4.050364e-01    1.073374e+03
  4.150373e-01    1.074159e+03
  4.250382e-01    1.074389e+03
  4.350391e-01    1.073814e+03
  4.450400e-01    1.073197e+03
  4.550409e-01    1.073356e+03
  4.650418e-01    1.074202e+03
  4.750427e-01    1.074050e+03
  4.850436e-01    1.074448e+03
  4.950445e-01    1.075288e+03
  5.050454e-01    1.075432e+03
  5.150463e-01    1.075074e+03
  5.250472e-01    1.074941e+03
  5.350481e-01    1.075153e+03
  5.450490e-01    1.075905e+03
  5.550499e-01    1.076432e+03
  5.650508e-01    1.076665e+03
  5.750517e-01    1.077355e+03
  5.850526e-01    1.077224e+03
  5.950535e-01    1.077544e+03
  6.050544e-01    1.077936e+03
  6.150553e-01    1.078063e+03
  6.250562e-01    1.078010e+03
  6.350571e-01    1.078966e+03
  6.450580e-01    1.079664e+03
  6.550589e-01    1.079672e+03
  6.650598e-01    1.079677e+03
  6.750607e-01    1.079697e+03
  6.850616e-01    1.079488e+03
  6.950625e-01    1.079482e+03
  7.050634e-01    1.080054e+03
  7.150643e-01    1.081165e+03
  7.250652e-01    1.082113e+03
  7.350661e-01    1.082931e+03
  7.450670e-01    1.083540e+03
  7.550679e-01    1.084507e+03
  7.650688e-01    1.086161e+03
  7.750697e-01    1.088173e+03
  7.850706e-01    1.089900e+03
  7.950715e-01    1.091041e+03
  8.050724e-01    1.092401e+03
