# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSA_1p3V_a/18.dat
#       2th_deg             I 
  5.000450e-03    1.223147e+03
  1.500135e-02    1.224056e+03
  2.500225e-02    1.229052e+03
  3.500315e-02    1.230272e+03
  4.500405e-02    1.230917e+03
  5.500495e-02    1.233539e+03
  6.500585e-02    1.235405e+03
  7.500675e-02    1.236833e+03
  8.500765e-02    1.234484e+03
  9.500855e-02    1.233287e+03
  1.050094e-01    1.235038e+03
  1.150103e-01    1.236293e+03
  1.250112e-01    1.235147e+03
  1.350121e-01    1.233711e+03
  1.450130e-01    1.234170e+03
  1.550139e-01    1.235815e+03
  1.650148e-01    1.235191e+03
  1.750157e-01    1.234773e+03
  1.850166e-01    1.232587e+03
  1.950175e-01    1.230784e+03
  2.050184e-01    1.232833e+03
  2.150193e-01    1.235125e+03
  2.250202e-01    1.234648e+03
  2.350211e-01    1.233957e+03
  2.450220e-01    1.233705e+03
  2.550229e-01    1.233504e+03
  2.650238e-01    1.235154e+03
  2.750247e-01    1.236900e+03
  2.850256e-01    1.237717e+03
  2.950265e-01    1.238639e+03
  3.050274e-01    1.239393e+03
  3.150283e-01    1.238737e+03
  3.250292e-01    1.238079e+03
  3.350301e-01    1.238904e+03
  3.450310e-01    1.240200e+03
  3.550319e-01    1.240701e+03
  3.650328e-01    1.241465e+03
  3.750337e-01    1.242116e+03
  3.850346e-01    1.242171e+03
  3.950355e-01    1.243085e+03
  4.050364e-01    1.245092e+03
  4.150373e-01    1.246630e+03
  4.250382e-01    1.247929e+03
  4.350391e-01    1.249620e+03
  4.450400e-01    1.251217e+03
  4.550409e-01    1.253800e+03
  4.650418e-01    1.256302e+03
  4.750427e-01    1.259477e+03
  4.850436e-01    1.263055e+03
  4.950445e-01    1.264822e+03
  5.050454e-01    1.262246e+03
  5.150463e-01    1.257357e+03
  5.250472e-01    1.255752e+03
  5.350481e-01    1.255118e+03
  5.450490e-01    1.254924e+03
  5.550499e-01    1.253223e+03
  5.650508e-01    1.253424e+03
  5.750517e-01    1.254790e+03
  5.850526e-01    1.254932e+03
  5.950535e-01    1.255003e+03
  6.050544e-01    1.255492e+03
  6.150553e-01    1.255791e+03
  6.250562e-01    1.254812e+03
  6.350571e-01    1.254944e+03
  6.450580e-01    1.256739e+03
  6.550589e-01    1.257211e+03
  6.650598e-01    1.257001e+03
  6.750607e-01    1.257535e+03
  6.850616e-01    1.259317e+03
  6.950625e-01    1.261052e+03
  7.050634e-01    1.264672e+03
  7.150643e-01    1.267096e+03
  7.250652e-01    1.270470e+03
  7.350661e-01    1.274723e+03
  7.450670e-01    1.277463e+03
  7.550679e-01    1.280333e+03
  7.650688e-01    1.285054e+03
  7.750697e-01    1.289304e+03
  7.850706e-01    1.293335e+03
  7.950715e-01    1.299562e+03
  8.050724e-01    1.306568e+03
  8.150733e-01    1.312246e+03
  8.250742e-01    1.317128e+03
  8.350751e-01    1.323641e+03
  8.450760e-01    1.331039e+03
  8.550769e-01    1.340051e+03
  8.650778e-01    1.353029e+03
  8.750787e-01    1.371412e+03
  8.850796e-01    1.395265e+03
  8.950805e-01    1.424194e+03
  9.050814e-01    1.457495e+03
  9.150823e-01    1.498862e+03
  9.250832e-01    1.550397e+03
  9.350841e-01    1.616285e+03
  9.450850e-01    1.702798e+03
  9.550859e-01    1.830496e+03
  9.650868e-01    2.040259e+03
  9.750877e-01    2.383047e+03
  9.850886e-01    2.925327e+03
  9.950895e-01    3.698168e+03
  1.005090e+00    4.656962e+03
  1.015091e+00    5.607762e+03
  1.025092e+00    6.485084e+03
  1.035093e+00    7.240652e+03
  1.045094e+00    7.899991e+03
  1.055095e+00    8.483010e+03
  1.065096e+00    9.045954e+03
  1.075097e+00    9.627866e+03
  1.085098e+00    1.019487e+04
  1.095099e+00    1.071421e+04
  1.105099e+00    1.120143e+04
  1.115100e+00    1.168562e+04
  1.125101e+00    1.214751e+04
  1.135102e+00    1.256579e+04
  1.145103e+00    1.293955e+04
  1.155104e+00    1.328234e+04
  1.165105e+00    1.362338e+04
  1.175106e+00    1.396484e+04
  1.185107e+00    1.428992e+04
  1.195108e+00    1.459706e+04
  1.205108e+00    1.488704e+04
  1.215109e+00    1.519138e+04
  1.225110e+00    1.546685e+04
  1.235111e+00    1.571189e+04
  1.245112e+00    1.593856e+04
  1.255113e+00    1.617465e+04
  1.265114e+00    1.638355e+04
  1.275115e+00    1.657797e+04
  1.285116e+00    1.673972e+04
  1.295117e+00    1.686051e+04
  1.305117e+00    1.694207e+04
  1.315118e+00    1.703143e+04
  1.325119e+00    1.712569e+04
  1.335120e+00    1.719966e+04
  1.345121e+00    1.725723e+04
  1.355122e+00    1.732652e+04
  1.365123e+00    1.741081e+04
  1.375124e+00    1.750280e+04
  1.385125e+00    1.759566e+04
  1.395126e+00    1.770579e+04
  1.405126e+00    1.785876e+04
  1.415127e+00    1.807537e+04
  1.425128e+00    1.837604e+04
  1.435129e+00    1.877318e+04
  1.445130e+00    1.924294e+04
  1.455131e+00    1.970952e+04
  1.465132e+00    2.014879e+04
  1.475133e+00    2.053635e+04
  1.485134e+00    2.087592e+04
  1.495135e+00    2.122483e+04
  1.505135e+00    2.161720e+04
  1.515136e+00    2.207817e+04
  1.525137e+00    2.261949e+04
  1.535138e+00    2.314833e+04
  1.545139e+00    2.359841e+04
  1.555140e+00    2.393127e+04
  1.565141e+00    2.416796e+04
  1.575142e+00    2.434374e+04
  1.585143e+00    2.445309e+04
  1.595144e+00    2.449000e+04
  1.605144e+00    2.448114e+04
  1.615145e+00    2.442408e+04
  1.625146e+00    2.434602e+04
  1.635147e+00    2.426679e+04
  1.645148e+00    2.417113e+04
  1.655149e+00    2.406815e+04
  1.665150e+00    2.396831e+04
  1.675151e+00    2.387036e+04
  1.685152e+00    2.377100e+04
  1.695152e+00    2.366204e+04
  1.705153e+00    2.355565e+04
  1.715154e+00    2.344110e+04
  1.725155e+00    2.333222e+04
  1.735156e+00    2.323376e+04
  1.745157e+00    2.313854e+04
  1.755158e+00    2.304132e+04
  1.765159e+00    2.294344e+04
  1.775160e+00    2.285388e+04
  1.785161e+00    2.276438e+04
  1.795161e+00    2.267009e+04
  1.805162e+00    2.255891e+04
  1.815163e+00    2.246439e+04
  1.825164e+00    2.237732e+04
  1.835165e+00    2.226796e+04
  1.845166e+00    2.213629e+04
  1.855167e+00    2.201056e+04
  1.865168e+00    2.189312e+04
  1.875169e+00    2.178708e+04
  1.885170e+00    2.168996e+04
  1.895170e+00    2.159719e+04
  1.905171e+00    2.150898e+04
  1.915172e+00    2.142388e+04
  1.925173e+00    2.134302e+04
  1.935174e+00    2.125891e+04
  1.945175e+00    2.116379e+04
  1.955176e+00    2.106094e+04
  1.965177e+00    2.095425e+04
  1.975178e+00    2.086258e+04
  1.985179e+00    2.076521e+04
  1.995179e+00    2.066286e+04
  2.005180e+00    2.056958e+04
  2.015181e+00    2.047188e+04
  2.025182e+00    2.038818e+04
  2.035183e+00    2.032330e+04
  2.045184e+00    2.025341e+04
  2.055185e+00    2.017170e+04
  2.065186e+00    2.009366e+04
  2.075187e+00    2.002392e+04
  2.085188e+00    1.994948e+04
  2.095188e+00    1.986951e+04
  2.105189e+00    1.979097e+04
  2.115190e+00    1.971710e+04
  2.125191e+00    1.964516e+04
  2.135192e+00    1.957371e+04
  2.145193e+00    1.950921e+04
  2.155194e+00    1.945410e+04
  2.165195e+00    1.939377e+04
  2.175196e+00    1.933398e+04
  2.185197e+00    1.927948e+04
  2.195197e+00    1.923028e+04
  2.205198e+00    1.917619e+04
  2.215199e+00    1.911514e+04
  2.225200e+00    1.903968e+04
  2.235201e+00    1.895385e+04
  2.245202e+00    1.887471e+04
  2.255203e+00    1.881397e+04
  2.265204e+00    1.875305e+04
  2.275205e+00    1.869959e+04
  2.285206e+00    1.865437e+04
  2.295206e+00    1.861289e+04
  2.305207e+00    1.857141e+04
  2.315208e+00    1.853319e+04
  2.325209e+00    1.849964e+04
  2.335210e+00    1.847385e+04
  2.345211e+00    1.846015e+04
  2.355212e+00    1.844355e+04
  2.365213e+00    1.842315e+04
  2.375214e+00    1.840346e+04
  2.385215e+00    1.838740e+04
  2.395215e+00    1.837314e+04
  2.405216e+00    1.835682e+04
  2.415217e+00    1.834167e+04
  2.425218e+00    1.832421e+04
  2.435219e+00    1.831050e+04
  2.445220e+00    1.828854e+04
  2.455221e+00    1.825911e+04
  2.465222e+00    1.822372e+04
  2.475223e+00    1.819471e+04
  2.485224e+00    1.816238e+04
  2.495224e+00    1.811773e+04
  2.505225e+00    1.807727e+04
  2.515226e+00    1.804932e+04
  2.525227e+00    1.802168e+04
  2.535228e+00    1.798057e+04
  2.545229e+00    1.792400e+04
  2.555230e+00    1.787141e+04
  2.565231e+00    1.782354e+04
  2.575232e+00    1.776948e+04
  2.585233e+00    1.771406e+04
  2.595233e+00    1.766006e+04
  2.605234e+00    1.760110e+04
  2.615235e+00    1.753904e+04
  2.625236e+00    1.747262e+04
  2.635237e+00    1.740787e+04
  2.645238e+00    1.733775e+04
  2.655239e+00    1.726735e+04
  2.665240e+00    1.719655e+04
  2.675241e+00    1.711369e+04
  2.685242e+00    1.703939e+04
  2.695242e+00    1.696058e+04
  2.705243e+00    1.688096e+04
  2.715244e+00    1.680598e+04
  2.725245e+00    1.673359e+04
  2.735246e+00    1.665706e+04
  2.745247e+00    1.657632e+04
  2.755248e+00    1.649572e+04
  2.765249e+00    1.641154e+04
  2.775250e+00    1.633668e+04
  2.785251e+00    1.626640e+04
  2.795251e+00    1.619315e+04
  2.805252e+00    1.611331e+04
  2.815253e+00    1.604895e+04
  2.825254e+00    1.599275e+04
  2.835255e+00    1.593739e+04
  2.845256e+00    1.588647e+04
  2.855257e+00    1.583163e+04
  2.865258e+00    1.577550e+04
  2.875259e+00    1.572589e+04
  2.885260e+00    1.567498e+04
  2.895260e+00    1.562408e+04
  2.905261e+00    1.556804e+04
  2.915262e+00    1.550689e+04
  2.925263e+00    1.545087e+04
  2.935264e+00    1.539549e+04
  2.945265e+00    1.533748e+04
  2.955266e+00    1.527742e+04
  2.965267e+00    1.522052e+04
  2.975268e+00    1.517503e+04
  2.985269e+00    1.513817e+04
  2.995269e+00    1.510415e+04
  3.005270e+00    1.506176e+04
  3.015271e+00    1.500820e+04
  3.025272e+00    1.495658e+04
  3.035273e+00    1.491089e+04
  3.045274e+00    1.486476e+04
  3.055275e+00    1.482413e+04
  3.065276e+00    1.478708e+04
  3.075277e+00    1.474757e+04
  3.085278e+00    1.470988e+04
  3.095278e+00    1.466954e+04
  3.105279e+00    1.462884e+04
  3.115280e+00    1.458256e+04
  3.125281e+00    1.453580e+04
  3.135282e+00    1.449423e+04
  3.145283e+00    1.445544e+04
  3.155284e+00    1.441030e+04
  3.165285e+00    1.436676e+04
  3.175286e+00    1.432849e+04
  3.185287e+00    1.428678e+04
  3.195287e+00    1.424428e+04
  3.205288e+00    1.420237e+04
  3.215289e+00    1.415909e+04
  3.225290e+00    1.412395e+04
  3.235291e+00    1.408842e+04
  3.245292e+00    1.405001e+04
  3.255293e+00    1.401187e+04
  3.265294e+00    1.397616e+04
  3.275295e+00    1.394417e+04
  3.285296e+00    1.391479e+04
  3.295296e+00    1.388503e+04
  3.305297e+00    1.384844e+04
  3.315298e+00    1.380677e+04
  3.325299e+00    1.377172e+04
  3.335300e+00    1.373128e+04
  3.345301e+00    1.368908e+04
  3.355302e+00    1.365650e+04
  3.365303e+00    1.362736e+04
  3.375304e+00    1.359631e+04
  3.385305e+00    1.355942e+04
  3.395305e+00    1.352675e+04
  3.405306e+00    1.349853e+04
  3.415307e+00    1.347329e+04
  3.425308e+00    1.344087e+04
  3.435309e+00    1.340670e+04
  3.445310e+00    1.337144e+04
  3.455311e+00    1.333411e+04
  3.465312e+00    1.329468e+04
  3.475313e+00    1.326066e+04
  3.485314e+00    1.323783e+04
  3.495314e+00    1.320954e+04
  3.505315e+00    1.316940e+04
  3.515316e+00    1.312608e+04
  3.525317e+00    1.308915e+04
  3.535318e+00    1.305160e+04
  3.545319e+00    1.301216e+04
  3.555320e+00    1.297343e+04
  3.565321e+00    1.293598e+04
  3.575322e+00    1.290272e+04
  3.585323e+00    1.287462e+04
  3.595323e+00    1.285166e+04
  3.605324e+00    1.283252e+04
  3.615325e+00    1.281682e+04
  3.625326e+00    1.279736e+04
  3.635327e+00    1.277127e+04
  3.645328e+00    1.274094e+04
  3.655329e+00    1.271918e+04
  3.665330e+00    1.270460e+04
  3.675331e+00    1.268026e+04
  3.685332e+00    1.265300e+04
  3.695332e+00    1.262653e+04
  3.705333e+00    1.259712e+04
  3.715334e+00    1.256801e+04
  3.725335e+00    1.254597e+04
  3.735336e+00    1.252200e+04
  3.745337e+00    1.248590e+04
  3.755338e+00    1.244374e+04
  3.765339e+00    1.240707e+04
  3.775340e+00    1.237856e+04
  3.785341e+00    1.234856e+04
  3.795341e+00    1.232073e+04
  3.805342e+00    1.229960e+04
  3.815343e+00    1.228260e+04
  3.825344e+00    1.226363e+04
  3.835345e+00    1.224425e+04
  3.845346e+00    1.222137e+04
  3.855347e+00    1.219502e+04
  3.865348e+00    1.217506e+04
  3.875349e+00    1.215848e+04
  3.885350e+00    1.213000e+04
  3.895350e+00    1.209938e+04
  3.905351e+00    1.207986e+04
  3.915352e+00    1.206205e+04
  3.925353e+00    1.203985e+04
  3.935354e+00    1.201245e+04
  3.945355e+00    1.198600e+04
  3.955356e+00    1.196245e+04
  3.965357e+00    1.193617e+04
  3.975358e+00    1.190639e+04
  3.985359e+00    1.188216e+04
  3.995359e+00    1.185814e+04
  4.005360e+00    1.183076e+04
  4.015361e+00    1.180753e+04
  4.025362e+00    1.178306e+04
  4.035363e+00    1.175344e+04
  4.045364e+00    1.173685e+04
  4.055365e+00    1.172242e+04
  4.065366e+00    1.170211e+04
  4.075367e+00    1.168264e+04
  4.085368e+00    1.166206e+04
  4.095368e+00    1.164378e+04
  4.105369e+00    1.162464e+04
  4.115370e+00    1.160066e+04
  4.125371e+00    1.157886e+04
  4.135372e+00    1.155476e+04
  4.145373e+00    1.153381e+04
  4.155374e+00    1.152477e+04
  4.165375e+00    1.151282e+04
  4.175376e+00    1.150021e+04
  4.185377e+00    1.149089e+04
  4.195377e+00    1.147813e+04
  4.205378e+00    1.146361e+04
  4.215379e+00    1.144779e+04
  4.225380e+00    1.143063e+04
  4.235381e+00    1.141593e+04
  4.245382e+00    1.140127e+04
  4.255383e+00    1.138021e+04
  4.265384e+00    1.135351e+04
  4.275385e+00    1.132693e+04
  4.285386e+00    1.130751e+04
