# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSA_1p3V_b/8.dat
#       2th_deg             I 
  5.000450e-03    1.130392e+03
  1.500135e-02    1.126115e+03
  2.500225e-02    1.125023e+03
  3.500315e-02    1.123672e+03
  4.500405e-02    1.125339e+03
  5.500495e-02    1.128331e+03
  6.500585e-02    1.127605e+03
  7.500675e-02    1.125873e+03
  8.500765e-02    1.126142e+03
  9.500855e-02    1.127371e+03
  1.050094e-01    1.129300e+03
  1.150103e-01    1.128041e+03
  1.250112e-01    1.126804e+03
  1.350121e-01    1.126901e+03
  1.450130e-01    1.126554e+03
  1.550139e-01    1.127422e+03
  1.650148e-01    1.128102e+03
  1.750157e-01    1.129371e+03
  1.850166e-01    1.130429e+03
  1.950175e-01    1.131054e+03
  2.050184e-01    1.129846e+03
  2.150193e-01    1.128239e+03
  2.250202e-01    1.128065e+03
  2.350211e-01    1.128471e+03
  2.450220e-01    1.129831e+03
  2.550229e-01    1.130775e+03
  2.650238e-01    1.130650e+03
  2.750247e-01    1.131575e+03
  2.850256e-01    1.133089e+03
  2.950265e-01    1.133408e+03
  3.050274e-01    1.134019e+03
  3.150283e-01    1.134487e+03
  3.250292e-01    1.135530e+03
  3.350301e-01    1.137244e+03
  3.450310e-01    1.138243e+03
  3.550319e-01    1.138414e+03
  3.650328e-01    1.138208e+03
  3.750337e-01    1.138623e+03
  3.850346e-01    1.140260e+03
  3.950355e-01    1.141303e+03
  4.050364e-01    1.143257e+03
  4.150373e-01    1.145646e+03
  4.250382e-01    1.147430e+03
  4.350391e-01    1.149913e+03
  4.450400e-01    1.151744e+03
  4.550409e-01    1.154368e+03
  4.650418e-01    1.157645e+03
  4.750427e-01    1.160329e+03
  4.850436e-01    1.162662e+03
  4.950445e-01    1.166154e+03
  5.050454e-01    1.165338e+03
  5.150463e-01    1.159043e+03
  5.250472e-01    1.156440e+03
  5.350481e-01    1.155033e+03
  5.450490e-01    1.154538e+03
  5.550499e-01    1.152354e+03
  5.650508e-01    1.150863e+03
  5.750517e-01    1.149053e+03
  5.850526e-01    1.147737e+03
  5.950535e-01    1.147068e+03
  6.050544e-01    1.146251e+03
  6.150553e-01    1.146166e+03
  6.250562e-01    1.146510e+03
  6.350571e-01    1.146924e+03
  6.450580e-01    1.146727e+03
  6.550589e-01    1.146895e+03
  6.650598e-01    1.146703e+03
  6.750607e-01    1.146236e+03
  6.850616e-01    1.145856e+03
  6.950625e-01    1.146500e+03
  7.050634e-01    1.148173e+03
  7.150643e-01    1.149245e+03
  7.250652e-01    1.150677e+03
  7.350661e-01    1.152301e+03
  7.450670e-01    1.154955e+03
  7.550679e-01    1.157805e+03
  7.650688e-01    1.160505e+03
  7.750697e-01    1.162615e+03
  7.850706e-01    1.164815e+03
  7.950715e-01    1.167194e+03
  8.050724e-01    1.170457e+03
  8.150733e-01    1.172980e+03
  8.250742e-01    1.177131e+03
  8.350751e-01    1.182616e+03
  8.450760e-01    1.187705e+03
  8.550769e-01    1.193383e+03
  8.650778e-01    1.202001e+03
  8.750787e-01    1.216290e+03
  8.850796e-01    1.235841e+03
  8.950805e-01    1.261687e+03
  9.050814e-01    1.291411e+03
  9.150823e-01    1.327071e+03
  9.250832e-01    1.370397e+03
  9.350841e-01    1.425314e+03
  9.450850e-01    1.496229e+03
  9.550859e-01    1.603109e+03
  9.650868e-01    1.780027e+03
  9.750877e-01    2.068208e+03
  9.850886e-01    2.523337e+03
  9.950895e-01    3.168752e+03
  1.005090e+00    3.949351e+03
  1.015091e+00    4.696841e+03
  1.025092e+00    5.348693e+03
  1.035093e+00    5.878983e+03
  1.045094e+00    6.308281e+03
  1.055095e+00    6.661137e+03
  1.065096e+00    6.976895e+03
  1.075097e+00    7.290021e+03
  1.085098e+00    7.580656e+03
  1.095099e+00    7.827770e+03
  1.105099e+00    8.036292e+03
  1.115100e+00    8.228247e+03
  1.125101e+00    8.405299e+03
  1.135102e+00    8.552417e+03
  1.145103e+00    8.656593e+03
  1.155104e+00    8.731840e+03
  1.165105e+00    8.803889e+03
  1.175106e+00    8.877489e+03
  1.185107e+00    8.933093e+03
  1.195108e+00    8.975103e+03
  1.205108e+00    9.014854e+03
  1.215109e+00    9.054632e+03
  1.225110e+00    9.072697e+03
  1.235111e+00    9.077069e+03
  1.245112e+00    9.063714e+03
  1.255113e+00    9.059744e+03
  1.265114e+00    9.047031e+03
  1.275115e+00    9.023621e+03
  1.285116e+00    8.994000e+03
  1.295117e+00    8.951397e+03
  1.305117e+00    8.894913e+03
  1.315118e+00    8.838866e+03
  1.325119e+00    8.784997e+03
  1.335120e+00    8.732615e+03
  1.345121e+00    8.686304e+03
  1.355122e+00    8.648916e+03
  1.365123e+00    8.614432e+03
  1.375124e+00    8.583750e+03
  1.385125e+00    8.558017e+03
  1.395126e+00    8.544393e+03
  1.405126e+00    8.553496e+03
  1.415127e+00    8.585759e+03
  1.425128e+00    8.646097e+03
  1.435129e+00    8.745417e+03
  1.445130e+00    8.871300e+03
  1.455131e+00    8.990685e+03
  1.465132e+00    9.099139e+03
  1.475133e+00    9.195023e+03
  1.485134e+00    9.279234e+03
  1.495135e+00    9.365478e+03
  1.505135e+00    9.461254e+03
  1.515136e+00    9.577293e+03
  1.525137e+00    9.719573e+03
  1.535138e+00    9.864334e+03
  1.545139e+00    9.978192e+03
  1.555140e+00    1.005485e+04
  1.565141e+00    1.010213e+04
  1.575142e+00    1.012549e+04
  1.585143e+00    1.012446e+04
  1.595144e+00    1.010660e+04
  1.605144e+00    1.007385e+04
  1.615145e+00    1.002522e+04
  1.625146e+00    9.972177e+03
  1.635147e+00    9.929527e+03
  1.645148e+00    9.882291e+03
  1.655149e+00    9.829727e+03
  1.665150e+00    9.776269e+03
  1.675151e+00    9.726907e+03
  1.685152e+00    9.680642e+03
  1.695152e+00    9.632837e+03
  1.705153e+00    9.581762e+03
  1.715154e+00    9.532703e+03
  1.725155e+00    9.497783e+03
  1.735156e+00    9.464670e+03
  1.745157e+00    9.425916e+03
  1.755158e+00    9.383889e+03
  1.765159e+00    9.349680e+03
  1.775160e+00    9.322739e+03
  1.785161e+00    9.297745e+03
  1.795161e+00    9.275469e+03
  1.805162e+00    9.247322e+03
  1.815163e+00    9.216042e+03
  1.825164e+00    9.185823e+03
  1.835165e+00    9.153149e+03
  1.845166e+00    9.117364e+03
  1.855167e+00    9.085009e+03
  1.865168e+00    9.059408e+03
  1.875169e+00    9.034435e+03
  1.885170e+00    9.004819e+03
  1.895170e+00    8.981778e+03
  1.905171e+00    8.972245e+03
  1.915172e+00    8.961159e+03
  1.925173e+00    8.943292e+03
  1.935174e+00    8.927623e+03
  1.945175e+00    8.907383e+03
  1.955176e+00    8.884678e+03
  1.965177e+00    8.863770e+03
  1.975178e+00    8.850397e+03
  1.985179e+00    8.833453e+03
  1.995179e+00    8.814107e+03
  2.005180e+00    8.797664e+03
  2.015181e+00    8.781889e+03
  2.025182e+00    8.764403e+03
  2.035183e+00    8.750242e+03
  2.045184e+00    8.745149e+03
  2.055185e+00    8.742229e+03
  2.065186e+00    8.737792e+03
  2.075187e+00    8.730688e+03
  2.085188e+00    8.721543e+03
  2.095188e+00    8.706832e+03
  2.105189e+00    8.697027e+03
  2.115190e+00    8.693712e+03
  2.125191e+00    8.686896e+03
  2.135192e+00    8.680745e+03
  2.145193e+00    8.675992e+03
  2.155194e+00    8.664252e+03
  2.165195e+00    8.656563e+03
  2.175196e+00    8.654378e+03
  2.185197e+00    8.658608e+03
  2.195197e+00    8.662651e+03
  2.205198e+00    8.660679e+03
  2.215199e+00    8.656242e+03
  2.225200e+00    8.649784e+03
  2.235201e+00    8.639283e+03
  2.245202e+00    8.624611e+03
  2.255203e+00    8.608007e+03
  2.265204e+00    8.599229e+03
  2.275205e+00    8.601801e+03
  2.285206e+00    8.608087e+03
  2.295206e+00    8.611315e+03
  2.305207e+00    8.610077e+03
  2.315208e+00    8.612166e+03
  2.325209e+00    8.616622e+03
  2.335210e+00    8.625546e+03
  2.345211e+00    8.636192e+03
  2.355212e+00    8.645666e+03
  2.365213e+00    8.650613e+03
  2.375214e+00    8.659558e+03
  2.385215e+00    8.674114e+03
  2.395215e+00    8.687038e+03
  2.405216e+00    8.691915e+03
  2.415217e+00    8.700915e+03
  2.425218e+00    8.716249e+03
  2.435219e+00    8.730422e+03
  2.445220e+00    8.738104e+03
  2.455221e+00    8.743990e+03
  2.465222e+00    8.749734e+03
  2.475223e+00    8.752766e+03
  2.485224e+00    8.753479e+03
  2.495224e+00    8.750479e+03
  2.505225e+00    8.751037e+03
  2.515226e+00    8.750379e+03
  2.525227e+00    8.752799e+03
  2.535228e+00    8.752237e+03
  2.545229e+00    8.752547e+03
  2.555230e+00    8.746307e+03
  2.565231e+00    8.733351e+03
  2.575232e+00    8.721598e+03
  2.585233e+00    8.712355e+03
  2.595233e+00    8.701189e+03
  2.605234e+00    8.688656e+03
  2.615235e+00    8.671611e+03
  2.625236e+00    8.656242e+03
  2.635237e+00    8.651037e+03
  2.645238e+00    8.645311e+03
  2.655239e+00    8.632089e+03
  2.665240e+00    8.612365e+03
  2.675241e+00    8.583269e+03
  2.685242e+00    8.558543e+03
  2.695242e+00    8.540411e+03
  2.705243e+00    8.527040e+03
  2.715244e+00    8.506753e+03
  2.725245e+00    8.487300e+03
  2.735246e+00    8.470786e+03
  2.745247e+00    8.448549e+03
  2.755248e+00    8.428604e+03
  2.765249e+00    8.411794e+03
  2.775250e+00    8.389849e+03
  2.785251e+00    8.365169e+03
  2.795251e+00    8.341895e+03
  2.805252e+00    8.322631e+03
  2.815253e+00    8.306308e+03
  2.825254e+00    8.289608e+03
  2.835255e+00    8.272965e+03
  2.845256e+00    8.261172e+03
  2.855257e+00    8.250773e+03
  2.865258e+00    8.235604e+03
  2.875259e+00    8.225620e+03
  2.885260e+00    8.214422e+03
  2.895260e+00    8.198661e+03
  2.905261e+00    8.182845e+03
  2.915262e+00    8.165982e+03
  2.925263e+00    8.151488e+03
  2.935264e+00    8.136404e+03
  2.945265e+00    8.116733e+03
  2.955266e+00    8.101937e+03
  2.965267e+00    8.089026e+03
  2.975268e+00    8.076063e+03
  2.985269e+00    8.066098e+03
  2.995269e+00    8.056244e+03
  3.005270e+00    8.047472e+03
  3.015271e+00    8.033723e+03
  3.025272e+00    8.020846e+03
  3.035273e+00    8.013011e+03
  3.045274e+00    8.002697e+03
  3.055275e+00    7.990079e+03
  3.065276e+00    7.981745e+03
  3.075277e+00    7.973636e+03
  3.085278e+00    7.965303e+03
  3.095278e+00    7.958229e+03
  3.105279e+00    7.950923e+03
  3.115280e+00    7.936443e+03
  3.125281e+00    7.923422e+03
  3.135282e+00    7.915115e+03
  3.145283e+00    7.909090e+03
  3.155284e+00    7.904752e+03
  3.165285e+00    7.898683e+03
  3.175286e+00    7.885854e+03
  3.185287e+00    7.870261e+03
  3.195287e+00    7.861182e+03
  3.205288e+00    7.854749e+03
  3.215289e+00    7.850213e+03
  3.225290e+00    7.847996e+03
  3.235291e+00    7.846046e+03
  3.245292e+00    7.844849e+03
  3.255293e+00    7.840337e+03
  3.265294e+00    7.837903e+03
  3.275295e+00    7.836482e+03
  3.285296e+00    7.835358e+03
  3.295296e+00    7.831988e+03
  3.305297e+00    7.827324e+03
  3.315298e+00    7.818865e+03
  3.325299e+00    7.807467e+03
  3.335300e+00    7.795313e+03
  3.345301e+00    7.782707e+03
  3.355302e+00    7.766293e+03
  3.365303e+00    7.758499e+03
  3.375304e+00    7.751884e+03
  3.385305e+00    7.738687e+03
  3.395305e+00    7.722799e+03
  3.405306e+00    7.713800e+03
  3.415307e+00    7.707508e+03
  3.425308e+00    7.705080e+03
  3.435309e+00    7.698210e+03
  3.445310e+00    7.688585e+03
  3.455311e+00    7.682624e+03
  3.465312e+00    7.679471e+03
  3.475313e+00    7.675883e+03
  3.485314e+00    7.671450e+03
  3.495314e+00    7.669146e+03
  3.505315e+00    7.667814e+03
  3.515316e+00    7.660692e+03
  3.525317e+00    7.648560e+03
  3.535318e+00    7.631636e+03
  3.545319e+00    7.615739e+03
  3.555320e+00    7.601958e+03
  3.565321e+00    7.589146e+03
  3.575322e+00    7.576306e+03
  3.585323e+00    7.566805e+03
  3.595323e+00    7.557986e+03
  3.605324e+00    7.547639e+03
  3.615325e+00    7.538539e+03
  3.625326e+00    7.533633e+03
  3.635327e+00    7.529978e+03
  3.645328e+00    7.522912e+03
  3.655329e+00    7.519627e+03
  3.665330e+00    7.516596e+03
  3.675331e+00    7.511289e+03
  3.685332e+00    7.509581e+03
  3.695332e+00    7.506202e+03
  3.705333e+00    7.501129e+03
  3.715334e+00    7.497624e+03
  3.725335e+00    7.493212e+03
  3.735336e+00    7.487810e+03
  3.745337e+00    7.481090e+03
  3.755338e+00    7.471615e+03
  3.765339e+00    7.463632e+03
  3.775340e+00    7.463342e+03
  3.785341e+00    7.466411e+03
  3.795341e+00    7.465833e+03
  3.805342e+00    7.462478e+03
  3.815343e+00    7.461605e+03
  3.825344e+00    7.458936e+03
  3.835345e+00    7.453643e+03
  3.845346e+00    7.445282e+03
  3.855347e+00    7.435354e+03
  3.865348e+00    7.429156e+03
  3.875349e+00    7.415875e+03
  3.885350e+00    7.395033e+03
  3.895350e+00    7.380391e+03
  3.905351e+00    7.367938e+03
  3.915352e+00    7.358161e+03
  3.925353e+00    7.347913e+03
  3.935354e+00    7.339914e+03
  3.945355e+00    7.329752e+03
  3.955356e+00    7.311580e+03
  3.965357e+00    7.291139e+03
  3.975358e+00    7.274220e+03
  3.985359e+00    7.259853e+03
  3.995359e+00    7.253418e+03
  4.005360e+00    7.245325e+03
  4.015361e+00    7.231926e+03
  4.025362e+00    7.223319e+03
  4.035363e+00    7.218354e+03
  4.045364e+00    7.213898e+03
  4.055365e+00    7.206303e+03
  4.065366e+00    7.198608e+03
  4.075367e+00    7.188332e+03
  4.085368e+00    7.179257e+03
  4.095368e+00    7.173233e+03
  4.105369e+00    7.169108e+03
  4.115370e+00    7.164842e+03
  4.125371e+00    7.157564e+03
  4.135372e+00    7.148286e+03
  4.145373e+00    7.140443e+03
  4.155374e+00    7.138664e+03
  4.165375e+00    7.141889e+03
  4.175376e+00    7.139134e+03
  4.185377e+00    7.132723e+03
  4.195377e+00    7.127142e+03
  4.205378e+00    7.122341e+03
  4.215379e+00    7.116890e+03
  4.225380e+00    7.111601e+03
  4.235381e+00    7.107705e+03
  4.245382e+00    7.107725e+03
  4.255383e+00    7.102109e+03
  4.265384e+00    7.092581e+03
  4.275385e+00    7.083505e+03
  4.285386e+00    7.077880e+03
  4.295386e+00    7.069242e+03
  4.305387e+00    7.058743e+03
  4.315388e+00    7.054501e+03
  4.325389e+00    7.051653e+03
  4.335390e+00    7.047516e+03
  4.345391e+00    7.041041e+03
  4.355392e+00    7.033822e+03
  4.365393e+00    7.028769e+03
  4.375394e+00    7.023431e+03
  4.385395e+00    7.022598e+03
  4.395395e+00    7.018887e+03
  4.405396e+00    7.011314e+03
  4.415397e+00    7.004033e+03
  4.425398e+00    6.994098e+03
  4.435399e+00    6.983237e+03
  4.445400e+00    6.970889e+03
  4.455401e+00    6.959216e+03
  4.465402e+00    6.957929e+03
  4.475403e+00    6.955601e+03
  4.485404e+00    6.951030e+03
  4.495404e+00    6.949649e+03
  4.505405e+00    6.947758e+03
  4.515406e+00    6.945290e+03
  4.525407e+00    6.944406e+03
  4.535408e+00    6.940036e+03
  4.545409e+00    6.935834e+03
  4.555410e+00    6.929212e+03
  4.565411e+00    6.923865e+03
  4.575412e+00    6.925143e+03
  4.585413e+00    6.927599e+03
  4.595413e+00    6.929862e+03
  4.605414e+00    6.932807e+03
  4.615415e+00    6.934234e+03
  4.625416e+00    6.930765e+03
  4.635417e+00    6.928394e+03
  4.645418e+00    6.929567e+03
  4.655419e+00    6.928300e+03
  4.665420e+00    6.924464e+03
  4.675421e+00    6.918186e+03
  4.685422e+00    6.912423e+03
  4.695422e+00    6.905566e+03
  4.705423e+00    6.900295e+03
  4.715424e+00    6.898706e+03
  4.725425e+00    6.901078e+03
  4.735426e+00    6.905889e+03
  4.745427e+00    6.904624e+03
  4.755428e+00    6.901534e+03
  4.765429e+00    6.899837e+03
  4.775430e+00    6.897104e+03
  4.785431e+00    6.892465e+03
  4.795431e+00    6.889502e+03
  4.805432e+00    6.889267e+03
  4.815433e+00    6.886841e+03
  4.825434e+00    6.883243e+03
  4.835435e+00    6.878229e+03
  4.845436e+00    6.873748e+03
  4.855437e+00    6.871122e+03
  4.865438e+00    6.871487e+03
  4.875439e+00    6.869940e+03
  4.885440e+00    6.863228e+03
  4.895440e+00    6.856860e+03
  4.905441e+00    6.851857e+03
  4.915442e+00    6.853184e+03
  4.925443e+00    6.852256e+03
  4.935444e+00    6.851674e+03
  4.945445e+00    6.857623e+03
  4.955446e+00    6.860307e+03
  4.965447e+00    6.859651e+03
  4.975448e+00    6.859477e+03
  4.985448e+00    6.862965e+03
  4.995449e+00    6.862982e+03
  5.005450e+00    6.858006e+03
  5.015451e+00    6.854420e+03
  5.025452e+00    6.854482e+03
  5.035453e+00    6.849293e+03
  5.045454e+00    6.844577e+03
  5.055455e+00    6.841205e+03
  5.065456e+00    6.837752e+03
  5.075457e+00    6.840047e+03
  5.085457e+00    6.841615e+03
  5.095458e+00    6.838667e+03
  5.105459e+00    6.834180e+03
  5.115460e+00    6.832898e+03
  5.125461e+00    6.832964e+03
  5.135462e+00    6.835483e+03
  5.145463e+00    6.839060e+03
  5.155464e+00    6.842985e+03
  5.165465e+00    6.843182e+03
  5.175466e+00    6.840437e+03
  5.185466e+00    6.838076e+03
  5.195467e+00    6.836345e+03
  5.205468e+00    6.836661e+03
  5.215469e+00    6.833466e+03
  5.225470e+00    6.824835e+03
  5.235471e+00    6.817760e+03
  5.245472e+00    6.815515e+03
  5.255473e+00    6.815975e+03
  5.265474e+00    6.817516e+03
  5.275475e+00    6.820643e+03
  5.285475e+00    6.822381e+03
  5.295476e+00    6.820362e+03
  5.305477e+00    6.817200e+03
  5.315478e+00    6.813745e+03
  5.325479e+00    6.811404e+03
  5.335480e+00    6.810182e+03
  5.345481e+00    6.810984e+03
  5.355482e+00    6.811629e+03
  5.365483e+00    6.811428e+03
  5.375484e+00    6.812322e+03
  5.385484e+00    6.812676e+03
  5.395485e+00    6.810070e+03
  5.405486e+00    6.805826e+03
  5.415487e+00    6.807318e+03
  5.425488e+00    6.810097e+03
  5.435489e+00    6.807759e+03
  5.445490e+00    6.808568e+03
  5.455491e+00    6.809417e+03
  5.465492e+00    6.811487e+03
  5.475493e+00    6.808903e+03
  5.485493e+00    6.806100e+03
  5.495494e+00    6.808163e+03
  5.505495e+00    6.809962e+03
  5.515496e+00    6.811741e+03
  5.525497e+00    6.809153e+03
