# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSA_1p3V_c/63.dat
#       2th_deg             I 
  5.000450e-03    1.124559e+03
  1.500135e-02    1.116860e+03
  2.500225e-02    1.114272e+03
  3.500315e-02    1.115384e+03
  4.500405e-02    1.116616e+03
  5.500495e-02    1.114642e+03
  6.500585e-02    1.110436e+03
  7.500675e-02    1.111486e+03
  8.500765e-02    1.114691e+03
  9.500855e-02    1.114953e+03
  1.050094e-01    1.114920e+03
  1.150103e-01    1.113661e+03
  1.250112e-01    1.115304e+03
  1.350121e-01    1.116377e+03
  1.450130e-01    1.114818e+03
  1.550139e-01    1.113746e+03
  1.650148e-01    1.114326e+03
  1.750157e-01    1.115859e+03
  1.850166e-01    1.117245e+03
  1.950175e-01    1.117809e+03
  2.050184e-01    1.116572e+03
  2.150193e-01    1.114915e+03
  2.250202e-01    1.114964e+03
  2.350211e-01    1.115497e+03
  2.450220e-01    1.115403e+03
  2.550229e-01    1.115148e+03
  2.650238e-01    1.115218e+03
  2.750247e-01    1.114262e+03
  2.850256e-01    1.113517e+03
  2.950265e-01    1.113273e+03
  3.050274e-01    1.112657e+03
  3.150283e-01    1.112506e+03
  3.250292e-01    1.113725e+03
  3.350301e-01    1.114432e+03
  3.450310e-01    1.113973e+03
  3.550319e-01    1.114218e+03
  3.650328e-01    1.115294e+03
  3.750337e-01    1.115682e+03
  3.850346e-01    1.115835e+03
  3.950355e-01    1.115890e+03
  4.050364e-01    1.115804e+03
  4.150373e-01    1.116110e+03
  4.250382e-01    1.116428e+03
  4.350391e-01    1.116874e+03
  4.450400e-01    1.116839e+03
  4.550409e-01    1.116968e+03
  4.650418e-01    1.117362e+03
  4.750427e-01    1.117301e+03
  4.850436e-01    1.117035e+03
  4.950445e-01    1.117361e+03
  5.050454e-01    1.118143e+03
  5.150463e-01    1.118493e+03
  5.250472e-01    1.119256e+03
  5.350481e-01    1.120636e+03
  5.450490e-01    1.121477e+03
  5.550499e-01    1.121223e+03
  5.650508e-01    1.121796e+03
  5.750517e-01    1.122582e+03
  5.850526e-01    1.122868e+03
  5.950535e-01    1.123455e+03
  6.050544e-01    1.123838e+03
  6.150553e-01    1.124925e+03
  6.250562e-01    1.125860e+03
  6.350571e-01    1.126318e+03
  6.450580e-01    1.125946e+03
  6.550589e-01    1.125567e+03
  6.650598e-01    1.125090e+03
  6.750607e-01    1.125675e+03
  6.850616e-01    1.126201e+03
  6.950625e-01    1.126888e+03
  7.050634e-01    1.127462e+03
  7.150643e-01    1.128260e+03
  7.250652e-01    1.130186e+03
  7.350661e-01    1.132193e+03
  7.450670e-01    1.134492e+03
