# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSA_1p3V_d/7.dat
#       2th_deg             I 
  5.000450e-03    1.262674e+03
  1.500135e-02    1.262959e+03
  2.500225e-02    1.269982e+03
  3.500315e-02    1.269840e+03
  4.500405e-02    1.267579e+03
  5.500495e-02    1.268862e+03
  6.500585e-02    1.268594e+03
  7.500675e-02    1.269470e+03
  8.500765e-02    1.268763e+03
  9.500855e-02    1.267007e+03
  1.050094e-01    1.266808e+03
  1.150103e-01    1.268065e+03
  1.250112e-01    1.270066e+03
  1.350121e-01    1.272112e+03
  1.450130e-01    1.271974e+03
  1.550139e-01    1.271930e+03
  1.650148e-01    1.272091e+03
  1.750157e-01    1.271866e+03
  1.850166e-01    1.273309e+03
  1.950175e-01    1.274173e+03
  2.050184e-01    1.274900e+03
  2.150193e-01    1.274077e+03
  2.250202e-01    1.273740e+03
  2.350211e-01    1.274232e+03
  2.450220e-01    1.272889e+03
  2.550229e-01    1.272140e+03
  2.650238e-01    1.274040e+03
  2.750247e-01    1.275664e+03
  2.850256e-01    1.276636e+03
  2.950265e-01    1.277286e+03
  3.050274e-01    1.277275e+03
  3.150283e-01    1.279629e+03
  3.250292e-01    1.282237e+03
  3.350301e-01    1.285249e+03
  3.450310e-01    1.287657e+03
  3.550319e-01    1.287373e+03
  3.650328e-01    1.287755e+03
  3.750337e-01    1.289875e+03
  3.850346e-01    1.291279e+03
  3.950355e-01    1.293187e+03
  4.050364e-01    1.295132e+03
  4.150373e-01    1.297234e+03
  4.250382e-01    1.298152e+03
  4.350391e-01    1.302283e+03
  4.450400e-01    1.308189e+03
  4.550409e-01    1.313542e+03
  4.650418e-01    1.318784e+03
  4.750427e-01    1.323567e+03
  4.850436e-01    1.328938e+03
  4.950445e-01    1.335326e+03
  5.050454e-01    1.333133e+03
  5.150463e-01    1.322708e+03
  5.250472e-01    1.318309e+03
  5.350481e-01    1.314566e+03
  5.450490e-01    1.311914e+03
  5.550499e-01    1.309790e+03
  5.650508e-01    1.308409e+03
  5.750517e-01    1.306708e+03
  5.850526e-01    1.304966e+03
  5.950535e-01    1.303780e+03
  6.050544e-01    1.304014e+03
  6.150553e-01    1.304825e+03
  6.250562e-01    1.305113e+03
  6.350571e-01    1.304246e+03
  6.450580e-01    1.304450e+03
  6.550589e-01    1.306021e+03
  6.650598e-01    1.305985e+03
  6.750607e-01    1.305043e+03
  6.850616e-01    1.305299e+03
  6.950625e-01    1.306703e+03
  7.050634e-01    1.310776e+03
  7.150643e-01    1.314596e+03
  7.250652e-01    1.319315e+03
  7.350661e-01    1.322580e+03
  7.450670e-01    1.326331e+03
  7.550679e-01    1.331086e+03
  7.650688e-01    1.335370e+03
  7.750697e-01    1.340484e+03
  7.850706e-01    1.346540e+03
  7.950715e-01    1.353475e+03
  8.050724e-01    1.361017e+03
  8.150733e-01    1.367279e+03
  8.250742e-01    1.375107e+03
  8.350751e-01    1.385037e+03
  8.450760e-01    1.394924e+03
  8.550769e-01    1.405577e+03
  8.650778e-01    1.422056e+03
  8.750787e-01    1.445871e+03
  8.850796e-01    1.477219e+03
  8.950805e-01    1.513429e+03
  9.050814e-01    1.555205e+03
  9.150823e-01    1.611934e+03
  9.250832e-01    1.682115e+03
  9.350841e-01    1.768607e+03
  9.450850e-01    1.885143e+03
  9.550859e-01    2.066403e+03
  9.650868e-01    2.376677e+03
  9.750877e-01    2.899392e+03
  9.850886e-01    3.734650e+03
  9.950895e-01    4.932094e+03
  1.005090e+00    6.400862e+03
  1.015091e+00    7.854440e+03
  1.025092e+00    9.171055e+03
  1.035093e+00    1.029858e+04
  1.045094e+00    1.126453e+04
  1.055095e+00    1.211100e+04
  1.065096e+00    1.290258e+04
  1.075097e+00    1.366043e+04
  1.085098e+00    1.437954e+04
  1.095099e+00    1.501336e+04
  1.105099e+00    1.559809e+04
  1.115100e+00    1.618118e+04
  1.125101e+00    1.682367e+04
  1.135102e+00    1.744136e+04
  1.145103e+00    1.798691e+04
  1.155104e+00    1.844362e+04
  1.165105e+00    1.885028e+04
  1.175106e+00    1.924118e+04
  1.185107e+00    1.962461e+04
  1.195108e+00    1.998278e+04
  1.205108e+00    2.033615e+04
  1.215109e+00    2.073667e+04
  1.225110e+00    2.108256e+04
  1.235111e+00    2.138370e+04
  1.245112e+00    2.163650e+04
  1.255113e+00    2.189077e+04
  1.265114e+00    2.211720e+04
  1.275115e+00    2.231662e+04
  1.285116e+00    2.248297e+04
  1.295117e+00    2.260323e+04
  1.305117e+00    2.268193e+04
  1.315118e+00    2.274796e+04
  1.325119e+00    2.281778e+04
  1.335120e+00    2.286243e+04
  1.345121e+00    2.289601e+04
  1.355122e+00    2.293665e+04
  1.365123e+00    2.299274e+04
  1.375124e+00    2.305666e+04
  1.385125e+00    2.313470e+04
  1.395126e+00    2.323563e+04
  1.405126e+00    2.340685e+04
  1.415127e+00    2.368544e+04
  1.425128e+00    2.410056e+04
  1.435129e+00    2.463892e+04
  1.445130e+00    2.524705e+04
  1.455131e+00    2.583394e+04
  1.465132e+00    2.637544e+04
  1.475133e+00    2.683896e+04
  1.485134e+00    2.726322e+04
  1.495135e+00    2.770793e+04
  1.505135e+00    2.822756e+04
  1.515136e+00    2.885954e+04
  1.525137e+00    2.958134e+04
  1.535138e+00    3.024702e+04
  1.545139e+00    3.076370e+04
  1.555140e+00    3.111847e+04
  1.565141e+00    3.137221e+04
  1.575142e+00    3.153800e+04
  1.585143e+00    3.161200e+04
  1.595144e+00    3.160342e+04
  1.605144e+00    3.152703e+04
  1.615145e+00    3.137563e+04
  1.625146e+00    3.120098e+04
  1.635147e+00    3.103484e+04
  1.645148e+00    3.086330e+04
  1.655149e+00    3.068481e+04
  1.665150e+00    3.049787e+04
  1.675151e+00    3.030949e+04
  1.685152e+00    3.012604e+04
  1.695152e+00    2.992507e+04
  1.705153e+00    2.972530e+04
  1.715154e+00    2.953813e+04
  1.725155e+00    2.936159e+04
  1.735156e+00    2.917970e+04
  1.745157e+00    2.899426e+04
  1.755158e+00    2.881096e+04
  1.765159e+00    2.862940e+04
  1.775160e+00    2.845704e+04
  1.785161e+00    2.829687e+04
  1.795161e+00    2.814254e+04
  1.805162e+00    2.796644e+04
  1.815163e+00    2.778080e+04
  1.825164e+00    2.760343e+04
  1.835165e+00    2.742634e+04
  1.845166e+00    2.722848e+04
  1.855167e+00    2.701146e+04
  1.865168e+00    2.680023e+04
  1.875169e+00    2.661358e+04
  1.885170e+00    2.643737e+04
  1.895170e+00    2.627225e+04
  1.905171e+00    2.612124e+04
  1.915172e+00    2.597278e+04
  1.925173e+00    2.582405e+04
  1.935174e+00    2.568001e+04
  1.945175e+00    2.550901e+04
  1.955176e+00    2.533720e+04
  1.965177e+00    2.518900e+04
  1.975178e+00    2.503171e+04
  1.985179e+00    2.485879e+04
  1.995179e+00    2.468831e+04
  2.005180e+00    2.453276e+04
  2.015181e+00    2.437446e+04
  2.025182e+00    2.422307e+04
  2.035183e+00    2.409113e+04
  2.045184e+00    2.396706e+04
  2.055185e+00    2.385138e+04
  2.065186e+00    2.371240e+04
  2.075187e+00    2.356768e+04
  2.085188e+00    2.343105e+04
  2.095188e+00    2.330235e+04
  2.105189e+00    2.317142e+04
  2.115190e+00    2.304372e+04
  2.125191e+00    2.292152e+04
  2.135192e+00    2.280443e+04
  2.145193e+00    2.269288e+04
  2.155194e+00    2.259168e+04
  2.165195e+00    2.248566e+04
  2.175196e+00    2.238347e+04
  2.185197e+00    2.228534e+04
  2.195197e+00    2.219501e+04
  2.205198e+00    2.210370e+04
  2.215199e+00    2.200807e+04
  2.225200e+00    2.188983e+04
  2.235201e+00    2.175365e+04
  2.245202e+00    2.162248e+04
  2.255203e+00    2.151676e+04
  2.265204e+00    2.141016e+04
  2.275205e+00    2.131081e+04
  2.285206e+00    2.122323e+04
  2.295206e+00    2.114160e+04
  2.305207e+00    2.106619e+04
  2.315208e+00    2.099327e+04
  2.325209e+00    2.091526e+04
  2.335210e+00    2.084208e+04
  2.345211e+00    2.079113e+04
  2.355212e+00    2.074467e+04
  2.365213e+00    2.069426e+04
  2.375214e+00    2.063890e+04
  2.385215e+00    2.058729e+04
  2.395215e+00    2.054005e+04
  2.405216e+00    2.049945e+04
  2.415217e+00    2.046049e+04
  2.425218e+00    2.041053e+04
  2.435219e+00    2.037010e+04
  2.445220e+00    2.031883e+04
  2.455221e+00    2.026837e+04
  2.465222e+00    2.021150e+04
  2.475223e+00    2.015166e+04
  2.485224e+00    2.008044e+04
  2.495224e+00    2.000581e+04
  2.505225e+00    1.993991e+04
  2.515226e+00    1.988142e+04
  2.525227e+00    1.981729e+04
  2.535228e+00    1.975225e+04
  2.545229e+00    1.968314e+04
  2.555230e+00    1.960729e+04
  2.565231e+00    1.952969e+04
  2.575232e+00    1.945353e+04
  2.585233e+00    1.937564e+04
  2.595233e+00    1.929685e+04
  2.605234e+00    1.921136e+04
  2.615235e+00    1.913232e+04
  2.625236e+00    1.904420e+04
  2.635237e+00    1.895565e+04
  2.645238e+00    1.887446e+04
