# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSP_1p3V_a/4.dat
#       2th_deg             I 
  5.000450e-03    1.216089e+03
  1.500135e-02    1.211393e+03
  2.500225e-02    1.213975e+03
  3.500315e-02    1.215781e+03
  4.500405e-02    1.216248e+03
  5.500495e-02    1.217160e+03
  6.500585e-02    1.217357e+03
  7.500675e-02    1.219056e+03
  8.500765e-02    1.224139e+03
  9.500855e-02    1.227321e+03
  1.050094e-01    1.225527e+03
  1.150103e-01    1.221975e+03
  1.250112e-01    1.221475e+03
  1.350121e-01    1.219959e+03
  1.450130e-01    1.218990e+03
  1.550139e-01    1.219636e+03
  1.650148e-01    1.219628e+03
  1.750157e-01    1.220938e+03
  1.850166e-01    1.221726e+03
  1.950175e-01    1.221554e+03
  2.050184e-01    1.220838e+03
  2.150193e-01    1.218744e+03
  2.250202e-01    1.217286e+03
  2.350211e-01    1.216026e+03
  2.450220e-01    1.215963e+03
  2.550229e-01    1.216212e+03
  2.650238e-01    1.216837e+03
  2.750247e-01    1.218898e+03
  2.850256e-01    1.220587e+03
  2.950265e-01    1.221295e+03
  3.050274e-01    1.221074e+03
  3.150283e-01    1.221918e+03
  3.250292e-01    1.222785e+03
  3.350301e-01    1.221477e+03
  3.450310e-01    1.220336e+03
  3.550319e-01    1.220811e+03
  3.650328e-01    1.221836e+03
  3.750337e-01    1.222688e+03
  3.850346e-01    1.224427e+03
  3.950355e-01    1.225612e+03
  4.050364e-01    1.226214e+03
  4.150373e-01    1.227924e+03
  4.250382e-01    1.229933e+03
  4.350391e-01    1.231484e+03
  4.450400e-01    1.231689e+03
  4.550409e-01    1.233693e+03
  4.650418e-01    1.236509e+03
  4.750427e-01    1.238062e+03
  4.850436e-01    1.238700e+03
  4.950445e-01    1.239195e+03
  5.050454e-01    1.238892e+03
  5.150463e-01    1.236053e+03
  5.250472e-01    1.236290e+03
  5.350481e-01    1.235324e+03
  5.450490e-01    1.235178e+03
  5.550499e-01    1.235546e+03
  5.650508e-01    1.235595e+03
  5.750517e-01    1.236317e+03
  5.850526e-01    1.236964e+03
  5.950535e-01    1.237778e+03
  6.050544e-01    1.237731e+03
  6.150553e-01    1.238137e+03
  6.250562e-01    1.239499e+03
  6.350571e-01    1.240367e+03
  6.450580e-01    1.240832e+03
  6.550589e-01    1.240839e+03
  6.650598e-01    1.241408e+03
  6.750607e-01    1.241951e+03
  6.850616e-01    1.243273e+03
  6.950625e-01    1.244881e+03
  7.050634e-01    1.248630e+03
  7.150643e-01    1.250913e+03
  7.250652e-01    1.253218e+03
  7.350661e-01    1.256711e+03
  7.450670e-01    1.259923e+03
  7.550679e-01    1.262772e+03
  7.650688e-01    1.266667e+03
  7.750697e-01    1.270976e+03
  7.850706e-01    1.275448e+03
  7.950715e-01    1.280823e+03
  8.050724e-01    1.285996e+03
  8.150733e-01    1.290390e+03
  8.250742e-01    1.294269e+03
  8.350751e-01    1.299938e+03
  8.450760e-01    1.306049e+03
  8.550769e-01    1.314249e+03
  8.650778e-01    1.327449e+03
  8.750787e-01    1.344071e+03
  8.850796e-01    1.363502e+03
  8.950805e-01    1.389441e+03
  9.050814e-01    1.420135e+03
  9.150823e-01    1.456624e+03
  9.250832e-01    1.501071e+03
  9.350841e-01    1.556100e+03
  9.450850e-01    1.627065e+03
  9.550859e-01    1.732637e+03
  9.650868e-01    1.896593e+03
  9.750877e-01    2.157753e+03
  9.850886e-01    2.565843e+03
  9.950895e-01    3.144024e+03
  1.005090e+00    3.852862e+03
  1.015091e+00    4.562292e+03
  1.025092e+00    5.226878e+03
  1.035093e+00    5.803678e+03
  1.045094e+00    6.308260e+03
  1.055095e+00    6.772395e+03
  1.065096e+00    7.226637e+03
  1.075097e+00    7.692587e+03
  1.085098e+00    8.162405e+03
  1.095099e+00    8.592360e+03
  1.105099e+00    8.989333e+03
  1.115100e+00    9.387404e+03
  1.125101e+00    9.779918e+03
  1.135102e+00    1.014246e+04
  1.145103e+00    1.046847e+04
