# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSP_1p3V_b/9.dat
#       2th_deg             I 
  5.000450e-03    1.189333e+03
  1.500135e-02    1.193137e+03
  2.500225e-02    1.197456e+03
  3.500315e-02    1.197632e+03
  4.500405e-02    1.197408e+03
  5.500495e-02    1.196992e+03
  6.500585e-02    1.195647e+03
  7.500675e-02    1.199353e+03
  8.500765e-02    1.203089e+03
  9.500855e-02    1.199933e+03
  1.050094e-01    1.196185e+03
  1.150103e-01    1.197685e+03
  1.250112e-01    1.200527e+03
  1.350121e-01    1.200651e+03
  1.450130e-01    1.200431e+03
  1.550139e-01    1.199899e+03
  1.650148e-01    1.199744e+03
  1.750157e-01    1.199840e+03
  1.850166e-01    1.201699e+03
  1.950175e-01    1.204553e+03
  2.050184e-01    1.205618e+03
  2.150193e-01    1.204797e+03
  2.250202e-01    1.203856e+03
  2.350211e-01    1.204744e+03
  2.450220e-01    1.204456e+03
  2.550229e-01    1.204005e+03
  2.650238e-01    1.206076e+03
  2.750247e-01    1.206241e+03
  2.850256e-01    1.205673e+03
  2.950265e-01    1.205771e+03
  3.050274e-01    1.207211e+03
  3.150283e-01    1.208557e+03
  3.250292e-01    1.210365e+03
  3.350301e-01    1.212200e+03
  3.450310e-01    1.213718e+03
  3.550319e-01    1.214219e+03
  3.650328e-01    1.214901e+03
  3.750337e-01    1.216902e+03
  3.850346e-01    1.219705e+03
  3.950355e-01    1.220893e+03
  4.050364e-01    1.221686e+03
  4.150373e-01    1.222892e+03
  4.250382e-01    1.225034e+03
  4.350391e-01    1.228416e+03
  4.450400e-01    1.230380e+03
