# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PSP_1p3V_c/5.dat
#       2th_deg             I 
  5.000450e-03    1.114657e+03
  1.500135e-02    1.112990e+03
  2.500225e-02    1.112880e+03
  3.500315e-02    1.112246e+03
  4.500405e-02    1.111370e+03
  5.500495e-02    1.111447e+03
  6.500585e-02    1.108539e+03
  7.500675e-02    1.107569e+03
  8.500765e-02    1.108483e+03
  9.500855e-02    1.107971e+03
  1.050094e-01    1.107573e+03
  1.150103e-01    1.106385e+03
  1.250112e-01    1.106809e+03
  1.350121e-01    1.106922e+03
  1.450130e-01    1.107296e+03
  1.550139e-01    1.108012e+03
  1.650148e-01    1.108984e+03
  1.750157e-01    1.111046e+03
  1.850166e-01    1.112105e+03
  1.950175e-01    1.111351e+03
  2.050184e-01    1.109741e+03
  2.150193e-01    1.109571e+03
  2.250202e-01    1.109451e+03
  2.350211e-01    1.108319e+03
  2.450220e-01    1.107765e+03
  2.550229e-01    1.107928e+03
  2.650238e-01    1.108342e+03
  2.750247e-01    1.107940e+03
  2.850256e-01    1.107346e+03
  2.950265e-01    1.107836e+03
  3.050274e-01    1.108938e+03
  3.150283e-01    1.108745e+03
  3.250292e-01    1.108022e+03
  3.350301e-01    1.108885e+03
  3.450310e-01    1.109482e+03
  3.550319e-01    1.109400e+03
  3.650328e-01    1.109276e+03
  3.750337e-01    1.108950e+03
  3.850346e-01    1.108580e+03
  3.950355e-01    1.109034e+03
  4.050364e-01    1.109566e+03
  4.150373e-01    1.109370e+03
  4.250382e-01    1.109278e+03
  4.350391e-01    1.109615e+03
  4.450400e-01    1.110401e+03
  4.550409e-01    1.110678e+03
  4.650418e-01    1.110831e+03
  4.750427e-01    1.111817e+03
  4.850436e-01    1.111997e+03
  4.950445e-01    1.111719e+03
  5.050454e-01    1.112826e+03
  5.150463e-01    1.113960e+03
  5.250472e-01    1.114915e+03
  5.350481e-01    1.115546e+03
  5.450490e-01    1.115252e+03
  5.550499e-01    1.114161e+03
  5.650508e-01    1.114251e+03
  5.750517e-01    1.116236e+03
  5.850526e-01    1.117396e+03
  5.950535e-01    1.117858e+03
  6.050544e-01    1.118378e+03
  6.150553e-01    1.119076e+03
  6.250562e-01    1.119387e+03
  6.350571e-01    1.119465e+03
  6.450580e-01    1.118902e+03
  6.550589e-01    1.119098e+03
  6.650598e-01    1.119949e+03
  6.750607e-01    1.120155e+03
  6.850616e-01    1.120347e+03
  6.950625e-01    1.121097e+03
  7.050634e-01    1.121719e+03
  7.150643e-01    1.122450e+03
  7.250652e-01    1.123693e+03
  7.350661e-01    1.124633e+03
  7.450670e-01    1.126712e+03
  7.550679e-01    1.129001e+03
  7.650688e-01    1.129670e+03
  7.750697e-01    1.131278e+03
  7.850706e-01    1.132384e+03
  7.950715e-01    1.133414e+03
  8.050724e-01    1.136141e+03
  8.150733e-01    1.138714e+03
  8.250742e-01    1.140966e+03
  8.350751e-01    1.142871e+03
  8.450760e-01    1.144584e+03
  8.550769e-01    1.147974e+03
  8.650778e-01    1.153291e+03
  8.750787e-01    1.161807e+03
  8.850796e-01    1.173697e+03
  8.950805e-01    1.188409e+03
  9.050814e-01    1.204959e+03
  9.150823e-01    1.225243e+03
  9.250832e-01    1.248975e+03
  9.350841e-01    1.275987e+03
  9.450850e-01    1.306314e+03
  9.550859e-01    1.343038e+03
  9.650868e-01    1.391987e+03
  9.750877e-01    1.457050e+03
  9.850886e-01    1.543260e+03
  9.950895e-01    1.654689e+03
  1.005090e+00    1.786618e+03
  1.015091e+00    1.917723e+03
  1.025092e+00    2.043993e+03
  1.035093e+00    2.159783e+03
  1.045094e+00    2.267827e+03
  1.055095e+00    2.368834e+03
  1.065096e+00    2.471174e+03
  1.075097e+00    2.578707e+03
  1.085098e+00    2.686292e+03
  1.095099e+00    2.788955e+03
  1.105099e+00    2.889250e+03
  1.115100e+00    2.991164e+03
  1.125101e+00    3.093661e+03
  1.135102e+00    3.185764e+03
  1.145103e+00    3.274222e+03
  1.155104e+00    3.359539e+03
  1.165105e+00    3.441371e+03
  1.175106e+00    3.528335e+03
  1.185107e+00    3.617754e+03
  1.195108e+00    3.705742e+03
  1.205108e+00    3.789518e+03
  1.215109e+00    3.877151e+03
  1.225110e+00    3.957333e+03
  1.235111e+00    4.034893e+03
  1.245112e+00    4.105272e+03
  1.255113e+00    4.180338e+03
  1.265114e+00    4.253574e+03
  1.275115e+00    4.325234e+03
  1.285116e+00    4.397288e+03
  1.295117e+00    4.466043e+03
  1.305117e+00    4.534372e+03
  1.315118e+00    4.602675e+03
  1.325119e+00    4.668059e+03
  1.335120e+00    4.734653e+03
  1.345121e+00    4.804680e+03
  1.355122e+00    4.875139e+03
  1.365123e+00    4.947517e+03
  1.375124e+00    5.022840e+03
  1.385125e+00    5.099963e+03
  1.395126e+00    5.179907e+03
  1.405126e+00    5.271858e+03
  1.415127e+00    5.375836e+03
