# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PS_0p0V_a/113.dat
#       2th_deg             I 
  5.000450e-03    1.231653e+03
  1.500135e-02    1.223899e+03
  2.500225e-02    1.221105e+03
  3.500315e-02    1.221150e+03
  4.500405e-02    1.219518e+03
  5.500495e-02    1.220235e+03
  6.500585e-02    1.222322e+03
  7.500675e-02    1.225592e+03
  8.500765e-02    1.227269e+03
  9.500855e-02    1.226129e+03
  1.050094e-01    1.226486e+03
  1.150103e-01    1.226812e+03
  1.250112e-01    1.226725e+03
  1.350121e-01    1.224306e+03
  1.450130e-01    1.223507e+03
  1.550139e-01    1.224521e+03
  1.650148e-01    1.224219e+03
  1.750157e-01    1.225717e+03
  1.850166e-01    1.228888e+03
  1.950175e-01    1.230510e+03
  2.050184e-01    1.229387e+03
  2.150193e-01    1.229727e+03
  2.250202e-01    1.231720e+03
  2.350211e-01    1.231389e+03
  2.450220e-01    1.231175e+03
  2.550229e-01    1.232930e+03
  2.650238e-01    1.234492e+03
  2.750247e-01    1.236634e+03
  2.850256e-01    1.239564e+03
  2.950265e-01    1.241241e+03
  3.050274e-01    1.242248e+03
  3.150283e-01    1.244059e+03
  3.250292e-01    1.246723e+03
  3.350301e-01    1.249037e+03
  3.450310e-01    1.251859e+03
  3.550319e-01    1.256999e+03
  3.650328e-01    1.260021e+03
  3.750337e-01    1.261084e+03
  3.850346e-01    1.263751e+03
  3.950355e-01    1.267026e+03
  4.050364e-01    1.271172e+03
  4.150373e-01    1.276464e+03
  4.250382e-01    1.281561e+03
  4.350391e-01    1.287289e+03
  4.450400e-01    1.292634e+03
  4.550409e-01    1.298671e+03
  4.650418e-01    1.307740e+03
  4.750427e-01    1.317931e+03
  4.850436e-01    1.327360e+03
  4.950445e-01    1.336417e+03
  5.050454e-01    1.329944e+03
  5.150463e-01    1.308885e+03
  5.250472e-01    1.299880e+03
  5.350481e-01    1.295319e+03
  5.450490e-01    1.290672e+03
  5.550499e-01    1.285309e+03
  5.650508e-01    1.282283e+03
  5.750517e-01    1.280592e+03
  5.850526e-01    1.275677e+03
  5.950535e-01    1.271324e+03
  6.050544e-01    1.270033e+03
  6.150553e-01    1.270863e+03
  6.250562e-01    1.270815e+03
  6.350571e-01    1.269389e+03
  6.450580e-01    1.267498e+03
  6.550589e-01    1.267453e+03
  6.650598e-01    1.268667e+03
  6.750607e-01    1.268951e+03
  6.850616e-01    1.270009e+03
  6.950625e-01    1.272470e+03
  7.050634e-01    1.278805e+03
  7.150643e-01    1.286567e+03
  7.250652e-01    1.293989e+03
  7.350661e-01    1.299189e+03
  7.450670e-01    1.305284e+03
  7.550679e-01    1.312087e+03
  7.650688e-01    1.319998e+03
  7.750697e-01    1.330528e+03
  7.850706e-01    1.344070e+03
  7.950715e-01    1.360211e+03
  8.050724e-01    1.376592e+03
  8.150733e-01    1.394079e+03
  8.250742e-01    1.415419e+03
  8.350751e-01    1.443274e+03
  8.450760e-01    1.479080e+03
  8.550769e-01    1.521826e+03
  8.650778e-01    1.577691e+03
  8.750787e-01    1.650857e+03
  8.850796e-01    1.746100e+03
  8.950805e-01    1.882850e+03
  9.050814e-01    2.117460e+03
  9.150823e-01    2.632707e+03
  9.250832e-01    3.865777e+03
  9.350841e-01    6.052492e+03
  9.450850e-01    8.087470e+03
  9.550859e-01    9.841880e+03
  9.650868e-01    1.142930e+04
  9.750877e-01    1.261073e+04
  9.850886e-01    1.349500e+04
  9.950895e-01    1.425973e+04
  1.005090e+00    1.497354e+04
  1.015091e+00    1.571737e+04
  1.025092e+00    1.650791e+04
  1.035093e+00    1.734484e+04
  1.045094e+00    1.817595e+04
  1.055095e+00    1.892678e+04
  1.065096e+00    1.957890e+04
  1.075097e+00    2.014159e+04
  1.085098e+00    2.061707e+04
  1.095099e+00    2.098615e+04
  1.105099e+00    2.132341e+04
  1.115100e+00    2.174687e+04
  1.125101e+00    2.229952e+04
  1.135102e+00    2.286595e+04
  1.145103e+00    2.336717e+04
  1.155104e+00    2.375003e+04
  1.165105e+00    2.402319e+04
  1.175106e+00    2.413342e+04
  1.185107e+00    2.412283e+04
  1.195108e+00    2.396821e+04
  1.205108e+00    2.372191e+04
  1.215109e+00    2.338292e+04
  1.225110e+00    2.285197e+04
  1.235111e+00    2.231228e+04
  1.245112e+00    2.186488e+04
  1.255113e+00    2.148507e+04
  1.265114e+00    2.109274e+04
  1.275115e+00    2.071425e+04
  1.285116e+00    2.036060e+04
  1.295117e+00    2.000328e+04
  1.305117e+00    1.964851e+04
  1.315118e+00    1.931438e+04
  1.325119e+00    1.900547e+04
  1.335120e+00    1.870576e+04
  1.345121e+00    1.842066e+04
  1.355122e+00    1.816122e+04
  1.365123e+00    1.791743e+04
  1.375124e+00    1.768039e+04
  1.385125e+00    1.746038e+04
  1.395126e+00    1.726525e+04
  1.405126e+00    1.711498e+04
  1.415127e+00    1.703264e+04
  1.425128e+00    1.705007e+04
  1.435129e+00    1.719118e+04
  1.445130e+00    1.743931e+04
  1.455131e+00    1.772436e+04
  1.465132e+00    1.801938e+04
  1.475133e+00    1.829851e+04
  1.485134e+00    1.856449e+04
  1.495135e+00    1.887175e+04
  1.505135e+00    1.926129e+04
  1.515136e+00    1.969518e+04
  1.525137e+00    2.010259e+04
  1.535138e+00    2.039330e+04
  1.545139e+00    2.056322e+04
  1.555140e+00    2.062192e+04
  1.565141e+00    2.063073e+04
  1.575142e+00    2.060068e+04
  1.585143e+00    2.052627e+04
  1.595144e+00    2.040986e+04
  1.605144e+00    2.028734e+04
  1.615145e+00    2.015033e+04
  1.625146e+00    2.000980e+04
  1.635147e+00    1.987935e+04
  1.645148e+00    1.974679e+04
  1.655149e+00    1.960390e+04
  1.665150e+00    1.945729e+04
  1.675151e+00    1.932487e+04
  1.685152e+00    1.921227e+04
  1.695152e+00    1.910073e+04
  1.705153e+00    1.898952e+04
  1.715154e+00    1.889071e+04
  1.725155e+00    1.879693e+04
  1.735156e+00    1.870593e+04
  1.745157e+00    1.862089e+04
  1.755158e+00    1.852743e+04
  1.765159e+00    1.843040e+04
  1.775160e+00    1.835476e+04
  1.785161e+00    1.829569e+04
  1.795161e+00    1.823117e+04
  1.805162e+00    1.815066e+04
  1.815163e+00    1.807651e+04
  1.825164e+00    1.800733e+04
  1.835165e+00    1.792278e+04
  1.845166e+00    1.782805e+04
  1.855167e+00    1.772856e+04
  1.865168e+00    1.762465e+04
  1.875169e+00    1.753976e+04
  1.885170e+00    1.746853e+04
  1.895170e+00    1.739713e+04
  1.905171e+00    1.733249e+04
  1.915172e+00    1.726980e+04
  1.925173e+00    1.720656e+04
  1.935174e+00    1.713607e+04
  1.945175e+00    1.706027e+04
  1.955176e+00    1.697479e+04
  1.965177e+00    1.688279e+04
  1.975178e+00    1.681030e+04
  1.985179e+00    1.673366e+04
  1.995179e+00    1.665004e+04
