# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PS_0p7V_b/11.dat
#       2th_deg             I 
  5.000450e-03    1.188996e+03
  1.500135e-02    1.186498e+03
  2.500225e-02    1.189573e+03
  3.500315e-02    1.190075e+03
  4.500405e-02    1.189094e+03
  5.500495e-02    1.191241e+03
  6.500585e-02    1.192477e+03
  7.500675e-02    1.193027e+03
  8.500765e-02    1.193154e+03
  9.500855e-02    1.193467e+03
  1.050094e-01    1.194554e+03
  1.150103e-01    1.197385e+03
  1.250112e-01    1.198838e+03
  1.350121e-01    1.196908e+03
  1.450130e-01    1.196122e+03
  1.550139e-01    1.194760e+03
  1.650148e-01    1.194561e+03
  1.750157e-01    1.194367e+03
  1.850166e-01    1.194925e+03
  1.950175e-01    1.196512e+03
  2.050184e-01    1.197143e+03
  2.150193e-01    1.197387e+03
  2.250202e-01    1.198619e+03
  2.350211e-01    1.198990e+03
  2.450220e-01    1.199165e+03
  2.550229e-01    1.200907e+03
  2.650238e-01    1.202105e+03
  2.750247e-01    1.202361e+03
  2.850256e-01    1.203998e+03
  2.950265e-01    1.205293e+03
  3.050274e-01    1.205677e+03
  3.150283e-01    1.206927e+03
  3.250292e-01    1.208996e+03
  3.350301e-01    1.210677e+03
  3.450310e-01    1.213118e+03
  3.550319e-01    1.213595e+03
  3.650328e-01    1.214241e+03
  3.750337e-01    1.216844e+03
  3.850346e-01    1.220619e+03
  3.950355e-01    1.224035e+03
  4.050364e-01    1.227463e+03
  4.150373e-01    1.230514e+03
  4.250382e-01    1.233213e+03
  4.350391e-01    1.237143e+03
  4.450400e-01    1.242129e+03
  4.550409e-01    1.247347e+03
  4.650418e-01    1.251469e+03
  4.750427e-01    1.256158e+03
  4.850436e-01    1.262580e+03
  4.950445e-01    1.271163e+03
  5.050454e-01    1.266962e+03
  5.150463e-01    1.253243e+03
  5.250472e-01    1.246923e+03
  5.350481e-01    1.241424e+03
  5.450490e-01    1.238549e+03
  5.550499e-01    1.235444e+03
  5.650508e-01    1.233294e+03
  5.750517e-01    1.231671e+03
  5.850526e-01    1.229793e+03
  5.950535e-01    1.228325e+03
  6.050544e-01    1.227662e+03
  6.150553e-01    1.228895e+03
  6.250562e-01    1.228974e+03
  6.350571e-01    1.227680e+03
  6.450580e-01    1.225920e+03
  6.550589e-01    1.225570e+03
  6.650598e-01    1.226657e+03
