# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PS_1p3V/18.dat
#       2th_deg             I 
  5.000450e-03    1.183943e+03
  1.500135e-02    1.184112e+03
  2.500225e-02    1.180636e+03
  3.500315e-02    1.179465e+03
  4.500405e-02    1.184640e+03
  5.500495e-02    1.185934e+03
  6.500585e-02    1.186081e+03
  7.500675e-02    1.188551e+03
  8.500765e-02    1.187877e+03
  9.500855e-02    1.187178e+03
  1.050094e-01    1.186900e+03
  1.150103e-01    1.188158e+03
  1.250112e-01    1.188047e+03
  1.350121e-01    1.188290e+03
  1.450130e-01    1.188476e+03
  1.550139e-01    1.190646e+03
  1.650148e-01    1.190211e+03
  1.750157e-01    1.189524e+03
  1.850166e-01    1.188059e+03
  1.950175e-01    1.186328e+03
  2.050184e-01    1.189115e+03
  2.150193e-01    1.190741e+03
  2.250202e-01    1.189664e+03
  2.350211e-01    1.187930e+03
  2.450220e-01    1.186751e+03
  2.550229e-01    1.186098e+03
  2.650238e-01    1.186933e+03
  2.750247e-01    1.187208e+03
  2.850256e-01    1.187316e+03
  2.950265e-01    1.188909e+03
  3.050274e-01    1.190683e+03
  3.150283e-01    1.191604e+03
  3.250292e-01    1.192716e+03
  3.350301e-01    1.193975e+03
  3.450310e-01    1.194545e+03
  3.550319e-01    1.194187e+03
  3.650328e-01    1.195453e+03
  3.750337e-01    1.197273e+03
  3.850346e-01    1.198413e+03
  3.950355e-01    1.199172e+03
  4.050364e-01    1.200176e+03
  4.150373e-01    1.200570e+03
  4.250382e-01    1.201348e+03
  4.350391e-01    1.202601e+03
  4.450400e-01    1.204583e+03
  4.550409e-01    1.206498e+03
  4.650418e-01    1.208686e+03
  4.750427e-01    1.210740e+03
  4.850436e-01    1.212335e+03
  4.950445e-01    1.215299e+03
  5.050454e-01    1.215380e+03
  5.150463e-01    1.210746e+03
  5.250472e-01    1.207873e+03
  5.350481e-01    1.208312e+03
  5.450490e-01    1.209130e+03
  5.550499e-01    1.208828e+03
  5.650508e-01    1.208315e+03
  5.750517e-01    1.207150e+03
  5.850526e-01    1.205449e+03
  5.950535e-01    1.204728e+03
  6.050544e-01    1.205198e+03
  6.150553e-01    1.205748e+03
  6.250562e-01    1.206415e+03
  6.350571e-01    1.207804e+03
  6.450580e-01    1.208087e+03
  6.550589e-01    1.208094e+03
  6.650598e-01    1.207472e+03
  6.750607e-01    1.206690e+03
  6.850616e-01    1.207663e+03
  6.950625e-01    1.209241e+03
  7.050634e-01    1.211774e+03
  7.150643e-01    1.214528e+03
  7.250652e-01    1.217765e+03
  7.350661e-01    1.220340e+03
  7.450670e-01    1.223607e+03
  7.550679e-01    1.225490e+03
  7.650688e-01    1.227563e+03
  7.750697e-01    1.229478e+03
  7.850706e-01    1.232612e+03
  7.950715e-01    1.235936e+03
  8.050724e-01    1.238583e+03
  8.150733e-01    1.241714e+03
  8.250742e-01    1.246145e+03
  8.350751e-01    1.251366e+03
  8.450760e-01    1.256207e+03
  8.550769e-01    1.261574e+03
  8.650778e-01    1.270087e+03
  8.750787e-01    1.283772e+03
  8.850796e-01    1.303586e+03
  8.950805e-01    1.326369e+03
  9.050814e-01    1.352447e+03
  9.150823e-01    1.384740e+03
  9.250832e-01    1.424133e+03
  9.350841e-01    1.471641e+03
  9.450850e-01    1.529212e+03
  9.550859e-01    1.611757e+03
  9.650868e-01    1.740578e+03
  9.750877e-01    1.943924e+03
  9.850886e-01    2.260285e+03
  9.950895e-01    2.709667e+03
  1.005090e+00    3.260348e+03
  1.015091e+00    3.805811e+03
  1.025092e+00    4.310243e+03
  1.035093e+00    4.736000e+03
  1.045094e+00    5.092041e+03
  1.055095e+00    5.399230e+03
  1.065096e+00    5.692421e+03
  1.075097e+00    5.982813e+03
  1.085098e+00    6.260900e+03
  1.095099e+00    6.522339e+03
  1.105099e+00    6.762573e+03
  1.115100e+00    6.987904e+03
  1.125101e+00    7.206239e+03
  1.135102e+00    7.405294e+03
  1.145103e+00    7.574959e+03
  1.155104e+00    7.726135e+03
  1.165105e+00    7.878649e+03
  1.175106e+00    8.037352e+03
  1.185107e+00    8.191524e+03
  1.195108e+00    8.327047e+03
  1.205108e+00    8.458462e+03
  1.215109e+00    8.589680e+03
  1.225110e+00    8.704294e+03
  1.235111e+00    8.811514e+03
  1.245112e+00    8.906888e+03
  1.255113e+00    9.017062e+03
  1.265114e+00    9.114722e+03
  1.275115e+00    9.195218e+03
  1.285116e+00    9.269818e+03
  1.295117e+00    9.333938e+03
  1.305117e+00    9.382464e+03
  1.315118e+00    9.428248e+03
  1.325119e+00    9.476148e+03
  1.335120e+00    9.523362e+03
  1.345121e+00    9.572634e+03
  1.355122e+00    9.621951e+03
  1.365123e+00    9.676528e+03
  1.375124e+00    9.741262e+03
  1.385125e+00    9.807532e+03
  1.395126e+00    9.879327e+03
  1.405126e+00    9.980483e+03
  1.415127e+00    1.010667e+04
  1.425128e+00    1.027036e+04
  1.435129e+00    1.048262e+04
  1.445130e+00    1.073336e+04
  1.455131e+00    1.098195e+04
  1.465132e+00    1.121302e+04
  1.475133e+00    1.142453e+04
  1.485134e+00    1.162306e+04
  1.495135e+00    1.182508e+04
  1.505135e+00    1.205135e+04
  1.515136e+00    1.232083e+04
  1.525137e+00    1.261311e+04
  1.535138e+00    1.289444e+04
  1.545139e+00    1.314142e+04
  1.555140e+00    1.333247e+04
  1.565141e+00    1.349734e+04
  1.575142e+00    1.362986e+04
  1.585143e+00    1.372171e+04
  1.595144e+00    1.379532e+04
  1.605144e+00    1.385006e+04
  1.615145e+00    1.387571e+04
  1.625146e+00    1.388666e+04
  1.635147e+00    1.389459e+04
  1.645148e+00    1.390682e+04
  1.655149e+00    1.392249e+04
  1.665150e+00    1.393323e+04
  1.675151e+00    1.395103e+04
  1.685152e+00    1.397228e+04
  1.695152e+00    1.398282e+04
  1.705153e+00    1.399331e+04
  1.715154e+00    1.400655e+04
  1.725155e+00    1.402190e+04
  1.735156e+00    1.403733e+04
  1.745157e+00    1.405129e+04
  1.755158e+00    1.406633e+04
  1.765159e+00    1.408202e+04
  1.775160e+00    1.408855e+04
  1.785161e+00    1.410086e+04
  1.795161e+00    1.412324e+04
  1.805162e+00    1.413802e+04
  1.815163e+00    1.415515e+04
  1.825164e+00    1.418070e+04
  1.835165e+00    1.418925e+04
  1.845166e+00    1.417571e+04
  1.855167e+00    1.416514e+04
  1.865168e+00    1.417489e+04
  1.875169e+00    1.418827e+04
  1.885170e+00    1.418840e+04
  1.895170e+00    1.419616e+04
  1.905171e+00    1.421780e+04
  1.915172e+00    1.424221e+04
  1.925173e+00    1.426096e+04
  1.935174e+00    1.427497e+04
  1.945175e+00    1.427756e+04
  1.955176e+00    1.428002e+04
  1.965177e+00    1.428722e+04
  1.975178e+00    1.429867e+04
  1.985179e+00    1.430223e+04
  1.995179e+00    1.430942e+04
  2.005180e+00    1.431651e+04
  2.015181e+00    1.431306e+04
  2.025182e+00    1.431625e+04
  2.035183e+00    1.432976e+04
  2.045184e+00    1.435224e+04
  2.055185e+00    1.437188e+04
  2.065186e+00    1.437819e+04
  2.075187e+00    1.439735e+04
  2.085188e+00    1.441446e+04
  2.095188e+00    1.441985e+04
  2.105189e+00    1.442502e+04
  2.115190e+00    1.443959e+04
  2.125191e+00    1.445792e+04
  2.135192e+00    1.447535e+04
  2.145193e+00    1.448473e+04
  2.155194e+00    1.449634e+04
  2.165195e+00    1.451347e+04
  2.175196e+00    1.453330e+04
  2.185197e+00    1.455523e+04
  2.195197e+00    1.457888e+04
  2.205198e+00    1.460627e+04
  2.215199e+00    1.463733e+04
  2.225200e+00    1.464324e+04
  2.235201e+00    1.463766e+04
  2.245202e+00    1.462910e+04
  2.255203e+00    1.463550e+04
  2.265204e+00    1.464696e+04
  2.275205e+00    1.466025e+04
  2.285206e+00    1.467474e+04
  2.295206e+00    1.469979e+04
  2.305207e+00    1.472670e+04
  2.315208e+00    1.474723e+04
  2.325209e+00    1.477132e+04
  2.335210e+00    1.480198e+04
  2.345211e+00    1.483628e+04
  2.355212e+00    1.487121e+04
  2.365213e+00    1.491277e+04
  2.375214e+00    1.494874e+04
  2.385215e+00    1.499018e+04
  2.395215e+00    1.503430e+04
  2.405216e+00    1.506872e+04
  2.415217e+00    1.510233e+04
  2.425218e+00    1.513754e+04
  2.435219e+00    1.517452e+04
  2.445220e+00    1.520607e+04
  2.455221e+00    1.523838e+04
  2.465222e+00    1.526431e+04
  2.475223e+00    1.528233e+04
  2.485224e+00    1.529785e+04
  2.495224e+00    1.530495e+04
  2.505225e+00    1.531632e+04
  2.515226e+00    1.532795e+04
  2.525227e+00    1.533379e+04
  2.535228e+00    1.534353e+04
  2.545229e+00    1.534907e+04
  2.555230e+00    1.534993e+04
  2.565231e+00    1.533955e+04
  2.575232e+00    1.532107e+04
  2.585233e+00    1.529890e+04
  2.595233e+00    1.528161e+04
  2.605234e+00    1.526532e+04
  2.615235e+00    1.525083e+04
  2.625236e+00    1.523432e+04
  2.635237e+00    1.521395e+04
  2.645238e+00    1.518629e+04
  2.655239e+00    1.515775e+04
  2.665240e+00    1.512377e+04
  2.675241e+00    1.508089e+04
  2.685242e+00    1.503977e+04
  2.695242e+00    1.500263e+04
  2.705243e+00    1.496021e+04
  2.715244e+00    1.491723e+04
  2.725245e+00    1.488230e+04
  2.735246e+00    1.484764e+04
  2.745247e+00    1.480577e+04
  2.755248e+00    1.475851e+04
  2.765249e+00    1.470710e+04
  2.775250e+00    1.466827e+04
  2.785251e+00    1.463238e+04
  2.795251e+00    1.459833e+04
  2.805252e+00    1.456835e+04
  2.815253e+00    1.453701e+04
  2.825254e+00    1.450233e+04
  2.835255e+00    1.447440e+04
  2.845256e+00    1.444828e+04
  2.855257e+00    1.442278e+04
  2.865258e+00    1.439701e+04
  2.875259e+00    1.437758e+04
  2.885260e+00    1.435695e+04
  2.895260e+00    1.434062e+04
  2.905261e+00    1.431791e+04
  2.915262e+00    1.428475e+04
  2.925263e+00    1.425253e+04
  2.935264e+00    1.422462e+04
  2.945265e+00    1.419917e+04
  2.955266e+00    1.417315e+04
  2.965267e+00    1.414416e+04
  2.975268e+00    1.411778e+04
  2.985269e+00    1.409998e+04
  2.995269e+00    1.408996e+04
  3.005270e+00    1.407635e+04
  3.015271e+00    1.404975e+04
  3.025272e+00    1.402258e+04
  3.035273e+00    1.400259e+04
  3.045274e+00    1.397341e+04
  3.055275e+00    1.395072e+04
  3.065276e+00    1.393994e+04
  3.075277e+00    1.392990e+04
  3.085278e+00    1.391001e+04
  3.095278e+00    1.389099e+04
  3.105279e+00    1.387984e+04
  3.115280e+00    1.386353e+04
  3.125281e+00    1.384101e+04
  3.135282e+00    1.381684e+04
  3.145283e+00    1.379718e+04
  3.155284e+00    1.377334e+04
  3.165285e+00    1.374850e+04
  3.175286e+00    1.372176e+04
  3.185287e+00    1.369517e+04
  3.195287e+00    1.367802e+04
  3.205288e+00    1.365578e+04
  3.215289e+00    1.362891e+04
  3.225290e+00    1.361286e+04
  3.235291e+00    1.359911e+04
  3.245292e+00    1.358050e+04
  3.255293e+00    1.356342e+04
  3.265294e+00    1.355122e+04
  3.275295e+00    1.354083e+04
  3.285296e+00    1.352769e+04
  3.295296e+00    1.351467e+04
  3.305297e+00    1.350023e+04
  3.315298e+00    1.348412e+04
  3.325299e+00    1.346844e+04
  3.335300e+00    1.345669e+04
  3.345301e+00    1.344367e+04
  3.355302e+00    1.342678e+04
  3.365303e+00    1.340849e+04
  3.375304e+00    1.339157e+04
  3.385305e+00    1.337587e+04
  3.395305e+00    1.336121e+04
  3.405306e+00    1.334437e+04
  3.415307e+00    1.332333e+04
  3.425308e+00    1.331000e+04
  3.435309e+00    1.330178e+04
  3.445310e+00    1.328662e+04
  3.455311e+00    1.326795e+04
  3.465312e+00    1.324955e+04
  3.475313e+00    1.323483e+04
  3.485314e+00    1.322256e+04
  3.495314e+00    1.321285e+04
  3.505315e+00    1.319339e+04
  3.515316e+00    1.317102e+04
  3.525317e+00    1.315516e+04
  3.535318e+00    1.313958e+04
  3.545319e+00    1.312160e+04
  3.555320e+00    1.309729e+04
  3.565321e+00    1.307947e+04
  3.575322e+00    1.306382e+04
  3.585323e+00    1.305088e+04
  3.595323e+00    1.304500e+04
  3.605324e+00    1.303897e+04
  3.615325e+00    1.303742e+04
  3.625326e+00    1.303921e+04
  3.635327e+00    1.303508e+04
  3.645328e+00    1.303318e+04
  3.655329e+00    1.302821e+04
  3.665330e+00    1.301798e+04
  3.675331e+00    1.301043e+04
  3.685332e+00    1.300312e+04
  3.695332e+00    1.299149e+04
  3.705333e+00    1.298378e+04
  3.715334e+00    1.297840e+04
  3.725335e+00    1.296483e+04
  3.735336e+00    1.295181e+04
  3.745337e+00    1.293799e+04
  3.755338e+00    1.291775e+04
  3.765339e+00    1.290421e+04
  3.775340e+00    1.290014e+04
  3.785341e+00    1.289397e+04
  3.795341e+00    1.288605e+04
  3.805342e+00    1.288185e+04
  3.815343e+00    1.288006e+04
  3.825344e+00    1.288201e+04
  3.835345e+00    1.288725e+04
  3.845346e+00    1.287883e+04
  3.855347e+00    1.286643e+04
  3.865348e+00    1.285775e+04
  3.875349e+00    1.284992e+04
  3.885350e+00    1.283266e+04
  3.895350e+00    1.282480e+04
  3.905351e+00    1.282369e+04
  3.915352e+00    1.282397e+04
  3.925353e+00    1.281925e+04
  3.935354e+00    1.280983e+04
  3.945355e+00    1.280148e+04
  3.955356e+00    1.279747e+04
  3.965357e+00    1.278726e+04
  3.975358e+00    1.277563e+04
  3.985359e+00    1.276624e+04
  3.995359e+00    1.275516e+04
  4.005360e+00    1.274579e+04
  4.015361e+00    1.274593e+04
  4.025362e+00    1.274329e+04
  4.035363e+00    1.273891e+04
  4.045364e+00    1.273259e+04
  4.055365e+00    1.272674e+04
  4.065366e+00    1.272525e+04
  4.075367e+00    1.272476e+04
  4.085368e+00    1.271815e+04
  4.095368e+00    1.271666e+04
  4.105369e+00    1.271683e+04
  4.115370e+00    1.271320e+04
  4.125371e+00    1.270130e+04
  4.135372e+00    1.268580e+04
  4.145373e+00    1.267689e+04
  4.155374e+00    1.268166e+04
  4.165375e+00    1.268693e+04
  4.175376e+00    1.269152e+04
  4.185377e+00    1.269616e+04
  4.195377e+00    1.269892e+04
  4.205378e+00    1.270094e+04
  4.215379e+00    1.270401e+04
  4.225380e+00    1.270069e+04
  4.235381e+00    1.269955e+04
  4.245382e+00    1.270523e+04
  4.255383e+00    1.270138e+04
  4.265384e+00    1.268857e+04
  4.275385e+00    1.267241e+04
  4.285386e+00    1.266520e+04
  4.295386e+00    1.265974e+04
  4.305387e+00    1.265046e+04
  4.315388e+00    1.264524e+04
  4.325389e+00    1.264040e+04
  4.335390e+00    1.263563e+04
  4.345391e+00    1.263386e+04
  4.355392e+00    1.263241e+04
  4.365393e+00    1.263293e+04
  4.375394e+00    1.263003e+04
  4.385395e+00    1.262220e+04
  4.395395e+00    1.261306e+04
  4.405396e+00    1.260140e+04
  4.415397e+00    1.258604e+04
  4.425398e+00    1.257260e+04
  4.435399e+00    1.256386e+04
  4.445400e+00    1.255742e+04
  4.455401e+00    1.254350e+04
  4.465402e+00    1.253055e+04
  4.475403e+00    1.251837e+04
  4.485404e+00    1.251331e+04
  4.495404e+00    1.251744e+04
  4.505405e+00    1.251858e+04
  4.515406e+00    1.251862e+04
  4.525407e+00    1.252683e+04
  4.535408e+00    1.252975e+04
  4.545409e+00    1.253233e+04
  4.555410e+00    1.253328e+04
  4.565411e+00    1.252819e+04
  4.575412e+00    1.252833e+04
  4.585413e+00    1.253450e+04
  4.595413e+00    1.253834e+04
  4.605414e+00    1.253492e+04
  4.615415e+00    1.253135e+04
  4.625416e+00    1.253243e+04
  4.635417e+00    1.253345e+04
  4.645418e+00    1.253216e+04
  4.655419e+00    1.253590e+04
  4.665420e+00    1.254346e+04
  4.675421e+00    1.254316e+04
  4.685422e+00    1.253632e+04
  4.695422e+00    1.252835e+04
  4.705423e+00    1.252460e+04
  4.715424e+00    1.252632e+04
  4.725425e+00    1.253121e+04
  4.735426e+00    1.253130e+04
  4.745427e+00    1.252464e+04
  4.755428e+00    1.251416e+04
  4.765429e+00    1.250643e+04
  4.775430e+00    1.250110e+04
  4.785431e+00    1.249885e+04
  4.795431e+00    1.249858e+04
  4.805432e+00    1.248895e+04
  4.815433e+00    1.247527e+04
  4.825434e+00    1.246267e+04
  4.835435e+00    1.245962e+04
  4.845436e+00    1.245795e+04
  4.855437e+00    1.245450e+04
  4.865438e+00    1.245849e+04
  4.875439e+00    1.245928e+04
  4.885440e+00    1.244833e+04
  4.895440e+00    1.243206e+04
  4.905441e+00    1.241835e+04
  4.915442e+00    1.241652e+04
  4.925443e+00    1.241685e+04
  4.935444e+00    1.241744e+04
  4.945445e+00    1.242110e+04
  4.955446e+00    1.242046e+04
  4.965447e+00    1.241226e+04
  4.975448e+00    1.240630e+04
  4.985448e+00    1.240144e+04
  4.995449e+00    1.239670e+04
  5.005450e+00    1.239252e+04
  5.015451e+00    1.238745e+04
  5.025452e+00    1.237898e+04
  5.035453e+00    1.236762e+04
  5.045454e+00    1.235464e+04
  5.055455e+00    1.233921e+04
  5.065456e+00    1.232559e+04
  5.075457e+00    1.232450e+04
  5.085457e+00    1.232654e+04
  5.095458e+00    1.232380e+04
