# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/PS_1p3V_c/26.dat
#       2th_deg             I 
  5.000450e-03    1.273765e+03
  1.500135e-02    1.277683e+03
  2.500225e-02    1.282740e+03
  3.500315e-02    1.282048e+03
  4.500405e-02    1.276344e+03
  5.500495e-02    1.271909e+03
  6.500585e-02    1.272008e+03
  7.500675e-02    1.272555e+03
  8.500765e-02    1.274948e+03
  9.500855e-02    1.275967e+03
  1.050094e-01    1.275540e+03
  1.150103e-01    1.278138e+03
  1.250112e-01    1.278491e+03
  1.350121e-01    1.275477e+03
  1.450130e-01    1.274539e+03
  1.550139e-01    1.277331e+03
  1.650148e-01    1.279911e+03
  1.750157e-01    1.280376e+03
  1.850166e-01    1.279457e+03
  1.950175e-01    1.280296e+03
  2.050184e-01    1.281304e+03
  2.150193e-01    1.282154e+03
  2.250202e-01    1.280929e+03
  2.350211e-01    1.279313e+03
  2.450220e-01    1.280283e+03
  2.550229e-01    1.283747e+03
  2.650238e-01    1.286119e+03
  2.750247e-01    1.285701e+03
  2.850256e-01    1.286193e+03
  2.950265e-01    1.287760e+03
  3.050274e-01    1.290691e+03
  3.150283e-01    1.294120e+03
  3.250292e-01    1.296145e+03
  3.350301e-01    1.297080e+03
  3.450310e-01    1.298447e+03
  3.550319e-01    1.300407e+03
  3.650328e-01    1.302583e+03
  3.750337e-01    1.303159e+03
  3.850346e-01    1.303871e+03
  3.950355e-01    1.307809e+03
