# == pyFAI calibration ==
# Distance Sample to Detector: 0.1294309877681794 m
# PONI: 5.034e-02, 2.441e-03 m
# Rotations: 0.006691 0.002051 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.434 mm
# Center: x=62.258, y=2000.060 pix
# Tilt: 0.401 deg  TiltPlanRot: 162.954 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.530e-05, 2.530e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.907e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ../../results/intermediate/integrated_1D/Si_17.95keV/0.dat
#       2th_deg             I 
  4.944492e-03    1.165988e+03
  1.483348e-02    1.166809e+03
  2.472246e-02    1.168558e+03
  3.461145e-02    1.169296e+03
  4.450043e-02    1.171931e+03
  5.438942e-02    1.173451e+03
  6.427840e-02    1.169112e+03
  7.416739e-02    1.166620e+03
  8.405637e-02    1.167515e+03
  9.394536e-02    1.168992e+03
  1.038343e-01    1.169240e+03
  1.137233e-01    1.168555e+03
  1.236123e-01    1.167010e+03
  1.335013e-01    1.166600e+03
  1.433903e-01    1.166781e+03
  1.532793e-01    1.166868e+03
  1.631683e-01    1.168218e+03
  1.730572e-01    1.170410e+03
  1.829462e-01    1.170837e+03
  1.928352e-01    1.170256e+03
  2.027242e-01    1.171143e+03
  2.126132e-01    1.171873e+03
  2.225022e-01    1.171046e+03
  2.323911e-01    1.171565e+03
  2.422801e-01    1.171985e+03
  2.521691e-01    1.171792e+03
  2.620581e-01    1.171532e+03
  2.719471e-01    1.171428e+03
  2.818361e-01    1.171214e+03
  2.917251e-01    1.170003e+03
  3.016140e-01    1.168427e+03
  3.115030e-01    1.168192e+03
  3.213920e-01    1.168519e+03
  3.312810e-01    1.169318e+03
  3.411700e-01    1.169288e+03
  3.510590e-01    1.168989e+03
  3.609479e-01    1.168739e+03
  3.708369e-01    1.169151e+03
  3.807259e-01    1.170701e+03
  3.906149e-01    1.172005e+03
  4.005039e-01    1.172873e+03
  4.103929e-01    1.172342e+03
  4.202819e-01    1.171493e+03
  4.301708e-01    1.171897e+03
  4.400598e-01    1.171804e+03
  4.499488e-01    1.171709e+03
  4.598378e-01    1.172429e+03
  4.697268e-01    1.172826e+03
  4.796158e-01    1.173579e+03
  4.895048e-01    1.174154e+03
  4.993937e-01    1.175263e+03
  5.092827e-01    1.175109e+03
  5.191717e-01    1.175442e+03
  5.290607e-01    1.176486e+03
  5.389497e-01    1.176255e+03
  5.488387e-01    1.176356e+03
  5.587276e-01    1.177129e+03
  5.686166e-01    1.178105e+03
  5.785056e-01    1.178047e+03
  5.883946e-01    1.178024e+03
  5.982836e-01    1.178877e+03
  6.081726e-01    1.180077e+03
  6.180616e-01    1.180730e+03
  6.279505e-01    1.180440e+03
  6.378395e-01    1.180185e+03
  6.477285e-01    1.181358e+03
  6.576175e-01    1.183282e+03
  6.675065e-01    1.183941e+03
  6.773955e-01    1.183891e+03
  6.872844e-01    1.184973e+03
  6.971734e-01    1.185900e+03
  7.070624e-01    1.187764e+03
  7.169514e-01    1.190796e+03
  7.268404e-01    1.191795e+03
  7.367294e-01    1.191664e+03
  7.466184e-01    1.193091e+03
  7.565073e-01    1.195226e+03
  7.663963e-01    1.197995e+03
  7.762853e-01    1.200582e+03
  7.861743e-01    1.202713e+03
  7.960633e-01    1.205122e+03
  8.059523e-01    1.207284e+03
  8.158413e-01    1.207923e+03
  8.257302e-01    1.209088e+03
  8.356192e-01    1.213349e+03
  8.455082e-01    1.217587e+03
  8.553972e-01    1.219462e+03
  8.652862e-01    1.224517e+03
  8.751752e-01    1.233206e+03
  8.850641e-01    1.245080e+03
  8.949531e-01    1.260356e+03
  9.048421e-01    1.279162e+03
  9.147311e-01    1.303375e+03
  9.246201e-01    1.331571e+03
  9.345091e-01    1.361697e+03
  9.443981e-01    1.393996e+03
  9.542870e-01    1.435221e+03
  9.641760e-01    1.486715e+03
  9.740650e-01    1.549896e+03
  9.839540e-01    1.631128e+03
  9.938430e-01    1.740262e+03
  1.003732e+00    1.883286e+03
  1.013621e+00    2.062104e+03
  1.023510e+00    2.251853e+03
  1.033399e+00    2.434484e+03
  1.043288e+00    2.600377e+03
  1.053177e+00    2.752740e+03
  1.063066e+00    2.898456e+03
  1.072955e+00    3.042183e+03
  1.082844e+00    3.188385e+03
  1.092733e+00    3.333979e+03
  1.102622e+00    3.477071e+03
  1.112511e+00    3.612963e+03
  1.122400e+00    3.747097e+03
  1.132289e+00    3.881955e+03
  1.142178e+00    4.011794e+03
  1.152067e+00    4.139517e+03
  1.161956e+00    4.265620e+03
  1.171845e+00    4.389124e+03
  1.181734e+00    4.519871e+03
  1.191623e+00    4.645481e+03
  1.201512e+00    4.767031e+03
  1.211401e+00    4.887764e+03
  1.221290e+00    5.005061e+03
  1.231179e+00    5.113281e+03
  1.241068e+00    5.222813e+03
  1.250957e+00    5.335580e+03
  1.260846e+00    5.451350e+03
  1.270735e+00    5.567763e+03
  1.280624e+00    5.676435e+03
  1.290513e+00    5.782399e+03
  1.300402e+00    5.882052e+03
  1.310290e+00    5.983235e+03
  1.320179e+00    6.081195e+03
  1.330068e+00    6.173700e+03
  1.339957e+00    6.272353e+03
  1.349846e+00    6.378439e+03
  1.359735e+00    6.485244e+03
  1.369624e+00    6.593779e+03
  1.379513e+00    6.706134e+03
  1.389402e+00    6.826703e+03
  1.399291e+00    6.957407e+03
  1.409180e+00    7.102032e+03
  1.419069e+00    7.269045e+03
  1.428958e+00    7.454799e+03
  1.438847e+00    7.657353e+03
  1.448736e+00    7.854441e+03
  1.458625e+00    8.032585e+03
  1.468514e+00    8.204361e+03
  1.478403e+00    8.371478e+03
  1.488292e+00    8.544656e+03
  1.498181e+00    8.720319e+03
  1.508070e+00    8.910874e+03
  1.517959e+00    9.118569e+03
  1.527848e+00    9.330176e+03
  1.537737e+00    9.525768e+03
  1.547626e+00    9.693300e+03
  1.557515e+00    9.836678e+03
  1.567404e+00    9.971918e+03
  1.577293e+00    1.009791e+04
  1.587182e+00    1.020925e+04
  1.597071e+00    1.030836e+04
  1.606960e+00    1.040034e+04
  1.616849e+00    1.048391e+04
  1.626738e+00    1.055575e+04
  1.636627e+00    1.062417e+04
  1.646516e+00    1.069240e+04
  1.656405e+00    1.076133e+04
  1.666294e+00    1.082895e+04
  1.676183e+00    1.089643e+04
  1.686072e+00    1.095587e+04
  1.695961e+00    1.101040e+04
  1.705850e+00    1.107582e+04
  1.715739e+00    1.113908e+04
  1.725628e+00    1.119583e+04
  1.735517e+00    1.125257e+04
  1.745406e+00    1.131440e+04
  1.755295e+00    1.138090e+04
  1.765184e+00    1.144512e+04
  1.775073e+00    1.150307e+04
  1.784962e+00    1.156539e+04
  1.794851e+00    1.162644e+04
  1.804740e+00    1.167862e+04
  1.814629e+00    1.173252e+04
  1.824518e+00    1.178842e+04
  1.834407e+00    1.183823e+04
  1.844296e+00    1.188541e+04
  1.854185e+00    1.193156e+04
  1.864074e+00    1.197218e+04
  1.873963e+00    1.201108e+04
  1.883852e+00    1.205557e+04
  1.893741e+00    1.210039e+04
  1.903630e+00    1.215408e+04
  1.913519e+00    1.220869e+04
  1.923408e+00    1.226047e+04
  1.933297e+00    1.231191e+04
  1.943186e+00    1.235360e+04
  1.953075e+00    1.239482e+04
  1.962963e+00    1.243885e+04
  1.972852e+00    1.247666e+04
  1.982741e+00    1.251507e+04
  1.992630e+00    1.255424e+04
  2.002519e+00    1.258906e+04
  2.012408e+00    1.261942e+04
  2.022297e+00    1.265254e+04
  2.032186e+00    1.270226e+04
  2.042075e+00    1.275020e+04
  2.051964e+00    1.279781e+04
  2.061853e+00    1.284182e+04
  2.071742e+00    1.288259e+04
  2.081631e+00    1.292361e+04
  2.091520e+00    1.295161e+04
  2.101409e+00    1.297845e+04
  2.111298e+00    1.301392e+04
  2.121187e+00    1.305734e+04
  2.131076e+00    1.309671e+04
  2.140965e+00    1.313496e+04
  2.150854e+00    1.316955e+04
  2.160743e+00    1.320577e+04
  2.170632e+00    1.325138e+04
  2.180521e+00    1.329714e+04
  2.190410e+00    1.334341e+04
  2.200299e+00    1.339276e+04
  2.210188e+00    1.343072e+04
  2.220077e+00    1.345631e+04
  2.229966e+00    1.347646e+04
  2.239855e+00    1.349289e+04
  2.249744e+00    1.351867e+04
  2.259633e+00    1.354877e+04
  2.269522e+00    1.357689e+04
  2.279411e+00    1.361391e+04
  2.289300e+00    1.365837e+04
  2.299189e+00    1.370423e+04
  2.309078e+00    1.375066e+04
  2.318967e+00    1.380052e+04
  2.328856e+00    1.384630e+04
  2.338745e+00    1.389361e+04
  2.348634e+00    1.394812e+04
  2.358523e+00    1.400345e+04
  2.368412e+00    1.405230e+04
  2.378301e+00    1.410684e+04
  2.388190e+00    1.416540e+04
  2.398079e+00    1.421496e+04
  2.407968e+00    1.426499e+04
  2.417857e+00    1.431258e+04
